PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,"Phenotype (Unstable (<30 min), Stable (>30 min))",Half-life,Compound QC
375887648,134808116,Active,Unstable,8.2,QC'ed NCATS
375819859,134793975,Active,Unstable,8.6,QC'ed NCATS
375886563,134807031,Active,Unstable,9.6,QC'ed NCATS
375888131,134808599,Active,Unstable,17.3,QC'ed NCATS
375821810,134798139,Active,Unstable,17.4,QC'ed NCATS
375856278,110196227,Active,Unstable,17.4,QC'ed NCATS
375844725,75527957,Active,Unstable,26.4,QC'ed NCATS
375890352,134810819,Active,Stable,33.2,QC'ed NCATS
375818659,134793478,Active,Stable,35.4,QC'ed NCATS
375861642,53183386,Active,Stable,36.7,QC'ed NCATS
375817666,134792767,Active,Stable,38.4,QC'ed NCATS
375888183,134808651,Active,Stable,41.6,QC'ed NCATS
375818332,134792377,Active,Stable,43.8,QC'ed NCATS
375887407,134807875,Active,Stable,49,QC'ed NCATS
375886982,134807450,Active,Stable,50.8,QC'ed NCATS
375799295,75367755,Active,Stable,51.1,QC'ed NCATS
375838543,25472769,Active,Stable,52,QC'ed NCATS
375802629,71694319,Active,Stable,56.6,QC'ed NCATS
375865576,110203391,Active,Stable,57.4,QC'ed NCATS
375806700,75529627,Active,Stable,59.3,QC'ed NCATS
375814782,134790033,Active,Stable,62.9,QC'ed NCATS
375799131,26744794,Active,Stable,63.4,QC'ed NCATS
375856224,110196228,Active,Stable,70.5,QC'ed NCATS
375813635,134788694,Active,Stable,71.4,QC'ed NCATS
375888963,134809430,Active,Stable,75.8,QC'ed NCATS
375841929,53149942,Active,Stable,76.2,QC'ed NCATS
375884899,134805368,Active,Stable,76.6,QC'ed NCATS
375848931,110197933,Active,Stable,79.2,QC'ed NCATS
375838829,110198053,Active,Stable,80.1,QC'ed NCATS
375888272,134808740,Active,Stable,80.3,QC'ed NCATS
375848030,110196166,Active,Stable,80.3,QC'ed NCATS
375840180,110196226,Active,Stable,82.6,QC'ed NCATS
375834363,110203591,Active,Stable,86.6,QC'ed NCATS
375887046,134807514,Active,Stable,90,QC'ed NCATS
375886293,134806761,Active,Stable,93,QC'ed NCATS
375814658,53529002,Active,Stable,93.2,QC'ed NCATS
375799465,56776007,Active,Stable,94.7,QC'ed NCATS
375822147,134796263,Active,Stable,95.2,QC'ed NCATS
375887848,134808316,Active,Stable,96.4,QC'ed NCATS
375813628,134790397,Active,Stable,96.8,QC'ed NCATS
375845736,91904482,Active,Stable,101.4,QC'ed NCATS
375823001,134800391,Active,Stable,103.4,QC'ed NCATS
375857209,110202797,Active,Stable,107.1,QC'ed NCATS
375880658,56915971,Active,Stable,110.7,QC'ed NCATS
375890344,134810811,Active,Stable,115.2,QC'ed NCATS
375888371,134808839,Inactive,Stable,120,QC'ed NCATS
375889009,134809476,Inactive,Stable,120,QC'ed NCATS
375822120,134799555,Inactive,Stable,120,QC'ed NCATS
375805526,45784246,Inactive,Stable,120,QC'ed NCATS
375890678,134811145,Inactive,Stable,120,QC'ed NCATS
375806272,75536899,Inactive,Stable,120,QC'ed NCATS
375821809,134796023,Inactive,Stable,120,QC'ed NCATS
375844203,110196248,Inactive,Stable,120,QC'ed NCATS
375845979,91918294,Inactive,Stable,120,QC'ed NCATS
375803462,25339001,Inactive,Stable,120,QC'ed NCATS
375822261,134796119,Inactive,Stable,120,QC'ed NCATS
375850300,87053299,Inactive,Stable,120,QC'ed NCATS
375813625,134789646,Inactive,Stable,120,QC'ed NCATS
375885537,134806005,Inactive,Stable,120,QC'ed NCATS
375819137,134793126,Inactive,Stable,120,QC'ed NCATS
375819769,44770688,Inactive,Stable,120,QC'ed NCATS
375811535,134790218,Inactive,Stable,120,QC'ed NCATS
375847984,91918343,Inactive,Stable,120,QC'ed NCATS
375870439,134804827,Inactive,Stable,120,QC'ed NCATS
375864249,110876432,Inactive,Stable,120,QC'ed NCATS
375856364,110875841,Inactive,Stable,120,QC'ed NCATS
375890783,134811250,Inactive,Stable,120,QC'ed NCATS
