PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,"Phenotype (Unstable (<30 min), Stable (>30 min))",Half-life (minutes),Compound QC
855633,2466,Active,stable,>30,QC'd by NCATS
85267104,1259573,Active,stable,>30,QC'd by NCATS
7978154,1275864,Active,stable,>30,QC'd by NCATS
17402368,4878,Active,stable,>30,QC'd by NCATS
17511506,2030130,Active,stable,>30,QC'd by NCATS
22411266,4422695,Active,stable,>30,QC'd by NCATS
14720733,1131802,Active,stable,>30,QC'd by NCATS
124876733,759785,Active,stable,>30,QC'd by NCATS
22416654,2886111,Active,stable,>30,QC'd by NCATS
24824333,1489415,Active,stable,>30,QC'd by NCATS
24817107,1075912,Active,stable,>30,QC'd by NCATS
24807327,15740787,Active,stable,>30,QC'd by NCATS
24780348,16187362,Active,stable,>30,QC'd by NCATS
26667298,16682542,Active,stable,>30,QC'd by NCATS
26670449,4880352,Active,stable,>30,QC'd by NCATS
26726099,1955100,Active,stable,>30,QC'd by NCATS
49816692,2985259,Active,stable,>30,QC'd by NCATS
49822379,16452407,Active,stable,>30,QC'd by NCATS
49823269,6461311,Active,stable,>30,QC'd by NCATS
49646140,16397347,Active,stable,>30,QC'd by NCATS
49667996,16396759,Active,stable,>30,QC'd by NCATS
49673740,9268266,Active,stable,>30,QC'd by NCATS
47195715,741756,Active,stable,>30,QC'd by NCATS
47201514,4451672,Active,stable,>30,QC'd by NCATS
49649460,23604753,Active,stable,>30,QC'd by NCATS
92763348,434973,Active,stable,>30,QC'd by NCATS
99355989,277845,Active,stable,>30,QC'd by NCATS
4238496,3233606,Active,stable,>30,QC'd by NCATS
4239807,3234914,Active,stable,>30,QC'd by NCATS
4240333,3235438,Active,stable,>30,QC'd by NCATS
4240452,3235557,Active,stable,>30,QC'd by NCATS
170466399,79472,Active,stable,>30,QC'd by NCATS
124877225,24867565,Active,stable,>30,QC'd by NCATS
124877459,193613,Active,stable,>30,QC'd by NCATS
387059823,3246218,Active,stable,>30,QC'd by NCATS
144203590,3000668,Active,stable,>30,QC'd by NCATS
124877816,256519,Active,stable,>30,QC'd by NCATS
