smiles,sdc,sdx,sa,dga,dgp,dgtot
CCCCOC1=CC=C(C=C1)CC(=O)NO,5.9606,1.7203,2.9233,2.3403,-62.5586,-60.2183
COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC,7.2935,2.1751,4.7052,-5.366,-92.3442,-92.2883
COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3,8.3869,1.5794,4.4669,-13.7309,-94.3257,-104.8181
CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,6.8236,1.4949,4.0439,-8.3783,-73.1126,-65.1014
CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5,9.6608,0.0,3.3804,-17.193,-67.5893,-70.0267
CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3,12.0648,1.992,6.1198,-5.0629,-130.4142,-107.4894
COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4,8.1607,1.6998,3.7246,-18.5664,-77.3537,-95.9201
CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N,3.7118,3.2723,4.1152,-6.9811,-74.1001,-80.9323
CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3,7.1922,2.3708,3.9729,-5.446,-77.5522,-82.9982
C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F,6.2085,0.8669,3.4413,-10.8294,-70.3134,-65.5002
C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,5.9046,2.9037,4.2946,-21.3091,-90.2202,-106.9819
C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-],6.1323,0.0,1.3831,-11.8842,-16.6854,-15.7119
CCOC(=O)C1(CCN(CC1)C2CCN(CC2)C(C)C)CC3=CC=CC=C3C(F)(F)F,13.8132,0.0,4.9941,10.917,-108.6236,-69.2148
CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N,8.5164,3.7438,4.5833,-14.6254,-88.3583,-98.5148
C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,6.8338,0.805,3.9696,-20.6047,-73.4711,-80.7084
CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O,11.6205,1.659,6.565,-14.0817,-126.198,-116.4355
C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC(=CN=C3)Br)C(=O)C4=CC=CC=C4F,11.6922,0.6568,5.1528,-13.976,-105.7565,-109.9338
CC1=CC(=CC=C1)N2C=CC(=O)C(=N2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,9.8694,2.0805,5.5466,-19.3477,-111.2225,-117.6809
C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O,7.8404,2.1631,4.0982,-11.7431,-85.7794,-97.5225
CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C,16.5276,3.4916,7.0722,2.0866,-148.8034,-139.0252
C/C(=N\NC(=S)N)/C1=CCC2[C@@]1(CCC3C2CC[C@@H]4[C@@]3(CCC(C4)O)C)C,8.4432,2.6079,3.8689,4.8786,-76.1143,-69.4494
COC1=CC=C(C=C1)C(=O)N2CCN(CC2)CCOC3=CC=C(C=C3)OC,12.3124,0.0,4.6975,-5.1774,-98.1631,-88.3722
CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,6.8623,0.8345,3.3173,-7.9181,-67.4835,-70.9154
C1=CC=C(C=C1)C2=C(N3C(=C(C=N3)C4=CC=CC=C4)N=C2)N,6.2527,1.4859,2.8086,-20.0163,-51.937,-63.6162
CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4,6.5918,1.5512,2.8548,-19.0131,-52.5311,-62.6567
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,11.2239,1.3509,4.9022,-6.5581,-104.9379,-106.7133
C1CCC(=O)C2=CC(=C(C=C2C1)O)O,4.7933,1.8663,2.4839,-4.3276,-55.8971,-60.2247
C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC=C3)F)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,13.3968,0.0,5.2211,1.7544,-118.9774,-90.2694
CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,8.4369,0.9354,4.6445,-12.8507,-88.4885,-80.0
C1=CC=C(C(=C1)C2=NC=CC(=N2)N3C=CN=C3)Cl,5.755,0.0,2.7042,-12.942,-49.6418,-48.9169
CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O,10.7558,0.8657,4.9331,-12.2614,-96.9263,-94.5792
