mol_idx,smiles,half-life,published
1,Cc1cc2cc(-c3c(C)noc3C)nc(Nc3cccc(F)c3)c2o1,8.2,2018
2,CN(Cc1cccc(F)c1)C1CCOc2ccccc21,8.6,2018
3,Fc1cccc(-c2cnc(Nc3cncnc3)c3c2CCO3)c1,9.6,2018
4,O=C(c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1)N1CCc2cccnc21,17.3,2018
5,Cc1ccc(NC(=O)c2nc3sccn3c2-c2cccc(C#N)c2)cc1,17.4,2018
6,O=C(c1cccs1)N1CCC(Oc2cccc(F)c2)C1,17.4,2016
7,Fc1cccc(-c2noc(-c3nc(-c4ccncc4)no3)n2)c1,26.4,2014
8,Cn1ccc(NC(=O)c2ccc(-c3ncc4cnc(-c5cccc(F)c5)cn34)cc2)n1,33.2,2018
9,Cc1cc(F)ccc1OC1CN(Cc2ccc(C#N)cc2)C1,35.4,2018
10,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2ccco2)CCC3)c1,36.7,2011
11,N#Cc1ccc(CN2CCC3(COc4ccccc4C(=O)N3)C2)cc1,38.4,2018
12,N#Cc1cccc(CN2CC(COc3ccccc3)C3(C2)CN(c2ccccc2)C3)c1,41.6,2018
13,Cc1cc(OC2CN(Cc3ccc(C#N)cc3)C2)ccc1F,43.8,2018
14,Cc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,49.0,2018
15,O=C(NCCCn1ccnc1)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,50.8,2018
16,N#Cc1cccc(CN2CCOC[C@H](O)C2)c1,51.1,2014
17,O=C(Nc1cnc(-c2ccccc2)nc1)c1cccc(F)c1,52.0,2009
18,CC(C)(C)c1coc([C@@H]2COCCN2Cc2cccc(C#N)c2)n1,56.6,2013
19,N#Cc1cccc(CN2C[C@@H](CO)[C@H](c3ccccn3)C2)c1,57.4,2016
20,Fc1cccc(-c2cnc([C@@H]3COCCN3Cc3cnc[nH]3)[nH]2)c1,59.3,2014
21,N#Cc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,62.9,2018
22,Cc1ccc(-c2noc([C@@H]3Cc4nc[nH]c4CN3Cc3cccc(C#N)c3)n2)cc1,63.4,2009
23,O=C(c1ccoc1)N1CCC(Oc2cccc(F)c2)C1,70.5,2016
24,N#Cc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,71.4,2018
25,COc1ccc(-c2[nH]nc3ncc(-c4cccc(F)c4)nc23)c(C)c1,75.8,2018
26,O=C(NC1CC1)c1ccc(-c2ccc(N3CCCCCC3)nc2)cc1,76.2,2011
27,Fc1cccc(Nc2ncc(-c3cccnc3)c3c2OCC3)c1,76.6,2018
28,COC1CCC12CCN(C(=O)c1ccc(C#N)cc1)CC2,79.2,2016
29,CC(=O)N1CCC(Cc2ccc(C(=O)NC3CC3)cc2)CC1,80.1,2016
30,COc1cncc(Nc2ncc(-c3cccc(F)c3)c3c2OCC3)c1,80.3,2018
31,N#Cc1ccccc1CN1CCC2(CC1)CC(O)CCO2,80.3,2016
32,O=C(c1ccsc1)N1CCC(Oc2cccc(F)c2)C1,82.6,2016
33,CNC(=O)[C@@H]1CN(C(=O)c2cccc(C#N)c2)C[C@H]1COC,86.6,2016
34,Cc1noc(C)c1-c1cc(-c2cccc(F)c2)cn2cncc12,90.0,2018
35,Cc1ccsc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,93.0,2018
36,N#Cc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,93.2,2011
37,N#Cc1cccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)c1,94.7,2012
38,N#Cc1cccc(-c2c(C(=O)NC3CC3)nc3sccn23)c1,95.2,2018
39,O=c1c2nc(Nc3cccc(F)c3)ccc2ncn1-c1cccnc1,96.4,2018
40,N#Cc1ccc(CN2CC(N3CCc4ccccc43)C2)cc1,96.8,2018
41,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(C#N)cc1)CCCC2,101.4,2015
42,N#Cc1cccc(-c2c(C(=O)N3CCCCC3)nc3sccn23)c1,103.4,2018
43,N#Cc1ccc(CN2C[C@@H](CO)[C@H](c3ccncc3)C2)cc1,107.1,2016
44,COCCNc1ncnc2c1CCN(C(=O)c1cscn1)CC2,110.7,2012
45,Cn1cnc2ccc(Nc3cccc(F)c3)nc2c1=O,115.2,2018
46,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3C#N)nc12,120.0,2018
47,O=c1cc(N2CCOCC2)oc2c(-c3cccc(F)c3)nccc12,120.0,2018
48,N#Cc1cccc(-c2c(C(=O)N3CCOCC3)nc3sccn23)c1,120.0,2018
49,N#Cc1cccc(CN2CC[C@H](c3nc4ccccc4[nH]3)C2)c1,120.0,2010
50,O=C1COCCN1c1cc(-c2cccc(F)c2)cn2cncc12,120.0,2018
51,N#Cc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,120.0,2014
52,CCN1CCN(C(=O)c2nc3sccn3c2-c2cccc(C#N)c2)CC1,120.0,2018
53,O=C(c1cccc(F)c1)N1CCC(Oc2cccnc2)C1,120.0,2016
54,COCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,120.0,2015
55,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(C#N)cc1,120.0,2009
56,COCCNC(=O)c1nc2sccn2c1-c1cccc(C#N)c1,120.0,2018
57,C[C@@]1(O)CCN(Cc2ccc(C#N)cc2)C[C@H]1N1CCCC1,120.0,2015
