mol_idx,smiles,half-life,published
1,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@@H](Cc1ccc(cc1)Oc1cc(ccc1O)C[C@H]3N(C)CC2)N(C)CC4,0.9999999999999999,2005
2,O=C(NCCc1ccccn1)C1CC(=O)N(c2n[nH]c3cc(Br)ccc23)C1,0.9955079474775398,2013
3,Nc1nc2c(s1)C(c1ccc(F)c(F)c1)CC(=O)N2,0.9937802349689012,2009
4,Cc1nc(-c2ccco2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)NC2CCCCC2)n1,0.9917069799585349,2009
5,Cc1ccc(-n2c(=O)c3oc4ccccc4c3n(CC(=O)Nc3ccc(F)c(Cl)c3)c2=O)cc1C,0.9903248099516241,2007
6,O=C1C(c2ccc(C(F)(F)F)cc2)=C(Nc2ccc(Cl)cc2)c2ccccc21,0.9796129923980649,2007
7,Fc1cccc(F)c1Nc1nc(-c2ccncc2)nc2ccccc12,0.9709744298548723,2013
8,COc1cccc(CNc2ccc(S(=O)(=O)Nc3ccc(C4CCNCC4)cc3)cc2)c1O,0.9709744298548723,2013
9,CCOc1ccc(CCNC(=O)c2cc3cnccc3n2Cc2cccc(C)n2)cc1OCC,0.9709744298548723,2013
10,CCOc1ccc(CCNC(=O)c2cc3ccncc3n2Cc2cccc(C)n2)cc1OCC,0.9709744298548723,2013
11,Cc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2ccc(Br)cc2)cc1,0.9571527297857637,2007
12,COC1C(OC(=O)c2ccc(C)[nH]2)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C,0.9457498272287491,2011
13,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,0.9447131997235659,2005
14,CC(C)C(=O)Nc1cccc(NC(=O)c2cc3ccccc3o2)c1,0.9364201796821009,2005
15,Fc1ccc(CNc2ncnc3onc(-c4ccc(F)cc4)c23)cc1,0.9364201796821009,2007
16,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)C4)CC2)cc1,0.9364201796821009,2009
17,Cc1cc(C)nc(NC(=S)N2CCN(c3cccc(C(F)(F)F)n3)CC2)c1,0.9364201796821009,2011
18,N#Cc1nc(-c2cccc3ccccc23)oc1NC1COC1,0.9364201796821009,2013
19,Oc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,0.9364201796821009,2019
20,Fc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1OCC(F)(F)F,0.9364201796821009,2013
21,COc1cccc(C(=O)Nc2ccc3oc(-c4ccc5ccccc5c4)nc3c2)c1,0.9322736696613683,2007
22,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,0.9298548721492743,2012
23,O=C(NCCCn1ccnc1)c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1,0.9295093296475466,2018
24,O=S(=O)(c1ccccc1)N1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,0.9260539046302695,2010
25,COc1ccc(C[C@@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H]3C(=O)N(C)[C@@H](Cc4ccc(O)c(c4)Oc4ccc(cc4)[C@H]3O)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N2C)cc1,0.9208707671043539,2005
26,COc1cccc(C(=O)Nc2ccc3c(N4CCOCC4)ncnc3c2)c1,0.912232204561161,2011
27,COc1ccc2c(c1)CCc1c-2n[nH]c1C(=O)N1CCc2c(nc3cc(-c4ccccc4)[nH]n3c2=O)C1,0.9108500345542502,2015
28,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,0.9087767795438839,2005
29,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,0.9084312370421562,2013
30,Cc1ccc(-c2nc(C)c(C(=O)Nc3ccc4c(c3)C(=O)N3CCC[C@H]3C(=O)N4)s2)cc1,0.9084312370421562,2015
31,CC1=C(C(=O)Nc2nccs2)C(c2ccccc2Br)N=C(Nc2nc3ccccc3o2)N1,0.9018659295093296,2010
32,CC1=C(C(=O)Nc2ccccc2)C(c2ccccc2Br)N=C(Nc2nc3ccccc3o2)N1,0.9018659295093296,2010
33,Fc1ccc(Nc2nc(-c3ccnc4ccccc34)nc3ccccc23)cc1F,0.9018659295093296,2013
34,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccc(F)c3)cs2)cc1,0.9018659295093296,2013
35,Fc1ccc(Nc2nc(-c3ccncc3)ncc2-c2ccccc2)cc1F,0.9018659295093296,2013
36,O=C(NCc1cccnc1)c1nc(-c2ccc(Cl)nc2)c2cnccn12,0.8880442294402212,2018
37,O=C(O)c1c(Sc2ccccc2)c2cc(Cl)ccc2n1Cc1ccc(Cl)cc1,0.8873531444367656,2006
38,COc1ccc(Cl)cc1NC(=O)c1sc2nc3c(cc2c1N)N1CCC3CC1,0.88217000691085,2005
39,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C3CC12,0.8790601243953006,2005
40,Cn1nc(-c2ccccc2F)c2cc(C(=O)Nc3cc(F)ccc3F)sc21,0.8756046993780234,2007
41,CNC(=O)C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,0.8728403593642018,2010
42,N#Cc1cccc(-c2nccc(-n3ccnc3)n2)c1,0.8673116793365584,2005
43,COc1ccccc1C(=O)Nc1nc2nc(C)cc(=O)n2[nH]1,0.8673116793365584,2005
44,Cc1cc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)nc2ccccc12,0.8673116793365584,2011
45,O=C1Nc2ccccc2/C1=C\c1cc(Br)c(O)c(Br)c1,0.8673116793365584,2006
46,Cc1cccc2c1NC(=O)/C2=C/c1cc(Cl)c(O)c(Cl)c1,0.8673116793365584,2014
47,Fc1ccc(Nc2nc(-c3ccnc(N4CCCCC4)c3)nc3ccccc23)cc1F,0.8673116793365584,2013
48,COc1nccc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)c1OC,0.8673116793365584,2013
49,CCOC(=O)N1CCN(Cc2nc3cc(NC(=O)c4ccc(OC)cc4)ccc3n2C(C)C)CC1,0.8669661368348306,2007
50,NC(=O)C1CCN(c2ncc(-c3cccc(N4CCCCC4)c3)s2)CC1,0.8669661368348306,2010
51,Nc1nc2c(s1)C(c1cccc(Cl)c1Cl)CC(=O)N2,0.8662750518313752,2009
52,CCCCOc1ccc(C2c3c(oc4ccc(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1OCC,0.864201796821009,2007
53,COC[C@@H]1CN(C(=O)c2nn(C)c3ccccc23)C[C@H]1c1nc(C)no1,0.8576364892881824,2017
54,COc1ccc(C2c3[nH]c4ccc(OC)cc4c3CCN2C(=O)Nc2ccccc2)cc1,0.8555632342778162,2007
55,N#Cc1cccc(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)c1,0.8527988942639944,2005
56,C#Cc1ccc(NC(=O)c2cnn3c(C)cc(C)nc23)cc1,0.8510711817553559,2010
57,COc1cc(CNCCO)cc(Cl)c1OCc1ccc(Cl)cc1Cl,0.8507256392536282,2005
58,O=c1[nH]c(C2CCN(CC3CCCCC3)CC2)nn1Cc1ccccc1,0.8424326192121632,2019
59,NC(=O)C1CCN(c2nc(-c3ccccc3N)cs2)CC1,0.8420870767104354,2009
60,CC(=O)N1CCc2c(sc3c2c(=O)n(-c2ccccc2)c(=O)n3Cc2cccc(C(F)(F)F)c2)C1,0.8327574291637871,2007
61,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NC(=O)C1CCCCC1,0.8327574291637871,2005
62,COCCCNC(=O)c1cc2cc(S(=O)(=O)N(C)C)ccc2n1C,0.8327574291637871,2011
63,O=S(=O)(Nc1nccs1)c1ccc(NCc2cccc(Cl)c2Cl)cc1,0.8327574291637871,2013
64,Nc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,0.8327574291637871,2013
65,Fc1ccc(-c2ccc(Nc3nc(-c4ccncc4)nc4ccccc34)cc2F)c(Cl)c1,0.8327574291637871,2013
