mol id,halflife
2466,30
1259573,30
1275864,30
4878,30
2030130,30
4422695,30
1131802,30
759785,30
2886111,30
1489415,30
1075912,30
15740787,30
16187362,30
16682542,30
4880352,30
1955100,30
2985259,30
16452407,30
6461311,30
16397347,30
16396759,30
9268266,30
741756,30
4451672,30
23604753,30
434973,30
277845,30
3233606,30
3234914,30
3235438,30
3235557,30
79472,30
24867565,30
193613,30
3246218,30
3000668,30
256519,30
92180,30
269325,30
3246430,30
284708,30
3246481,30
3246541,30
67532,30
5281708,30
9363,30
53708,30
5702161,30
53276,30
5034,30
5280961,30
3825,30
262093,30
4477,30
5353685,30
5280445,30
4030,30
180081,30
24360,30
4622,30
123664,30
9681,30
10219,30
126941,30
6167,30
219050,30
6604934,30
654450,30
651756,30
2120761,30
2120852,30
804919,30
699459,30
3237670,30
3239035,30
68261,30
3243406,30
1305820,30
1245328,30
2958396,30
1246434,30
1079729,30
664662,30
41368,30
3245031,30
3237063,30
790407,30
6603237,30
2159,30
3237082,30
2909,30
5289419,30
4059,30
135398638,30
1100832,30
5721447,30
5175738,30
15991160,30
721046,30
699254,30
3697282,30
3417885,30
6407314,30
3571741,30
2947897,30
15991372,30
2983992,30
2982228,30
15991500,30
15991524,30
15988552,30
15990026,30
15990222,30
15990397,30
15990859,30
15990960,30
2151568,30
16010509,30
1243964,30
929965,30
930029,30
16015034,30
16017615,30
16017831,30
16017851,30
16018174,30
16018319,30
16020562,30
16021425,30
16022683,30
16023553,30
16024507,30
16025678,30
16025693,30
16025942,30
135410503,30
16029337,30
135410529,30
16031361,30
4705986,30
16033099,30
16033131,30
16033135,30
16033196,30
7205529,30
4190676,30
5162647,30
1511198,30
9872740,30
9893924,30
5516,30
73265357,30
7547,30
18637,30
71335,30
34001,30
3086686,30
9860529,30
37907,30
2377964,30
2161,30
3081361,30
122077,30
2678,30
5311,30
11219835,30
54685047,30
15571694,30
24871224,30
15559221,30
25109905,30
25181364,30
25181365,30
25181366,30
25181367,30
24180125,30
2515,30
44142148,30
2921716,30
71900,30
9795907,30
644241,30
44144342,30
44144356,30
44144352,30
44144360,30
46907660,30
44144364,30
46907760,30
44143157,30
44341401,30
44246403,30
44820665,30
49852946,30
46907723,30
46907697,30
46907661,30
46907713,30
46907712,30
46907729,30
46907727,30
46907680,30
46907669,30
46907689,30
46907667,30
46907737,30
46907724,30
46907754,30
46907674,30
46907688,30
46907709,30
46907730,30
46907747,30
135422895,30
9967941,30
44246499,30
1005314,30
20969430,30
49853075,30
46907657,30
46907671,30
46907666,30
46907678,30
23729147,30
46907746,30
11551001,30
24978538,30
49853131,30
107970,30
44968250,30
39886486,30
44825300,30
44825303,30
10127622,30
49787080,30
46926046,30
49852229,30
2806493,30
46916190,30
46926057,30
