index,smiles,half-life,published
51,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,30.0,2004
45,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,30.0,2004
1430,Nc1cc2nc3ccccc3oc-2cc1=O,8.63,2004
38,CC(C)=CCNc1ncnc2nc[nH]c12,30.0,2004
1180,NC[C@H](O)c1ccc(O)c(O)c1,13.36,2004
307,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,30.0,2004
1619,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6.13,2004
56,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,30.0,2004
44,N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,30.0,2004
441,O=C(CCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,30.0,2005
1622,CCOC(=O)C1=C(C)NC(=O)CC1C(=O)Nc1cc(Cl)cc(Cl)c1,6.1,2005
444,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc(-c2ccccc2)cc1,30.0,2005
445,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cc(-c2ccccc2)nc2ccccc12,30.0,2005
1,CCCCOc1ccc(CC(=O)NO)cc1,30.0,2005
1610,CCN(CC)c1ccc(Nc2nc(Cl)ncc2Br)cc1,6.24,2005
1592,Cc1nn(Cc2ccc(Cl)cc2)c(C)c1NC(=O)c1cc(-c2ccc3c(c2)OCO3)on1,6.4,2005
1587,Cc1ccc(NS(=O)(=O)c2ccc(C(=O)Nc3nc(-c4ccccc4)cs3)cc2)cc1,6.5,2005
1585,Clc1ccccc1CSc1nc2ncc(Br)cc2[nH]1,6.5,2005
1576,N#Cc1ccccc1CSc1nc2ncc(Br)cc2[nH]1,6.6,2005
1575,Nc1c(C(=O)N2CCCCC2)sc(=S)n1-c1ccccc1,6.6,2005
1617,OCc1ccc(-c2ccc(-c3ccc(CO)s3)o2)s1,6.18,2005
440,O=C(Cc1ccccc1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,30.0,2005
1627,COc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1S(=O)(=O)N1CCCCC1,6.0,2005
438,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cccc2ccccc12,30.0,2005
418,COc1ccc(/C=C2/C(=O)Nc3ccccc32)cc1O,30.0,2005
419,O=C1Nc2ccccc2/C1=C/c1cccc(C(=O)O)c1,30.0,2005
1691,CCN(CC)S(=O)(=O)c1ccc(N2CCOCC2)c(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)c1,5.49,2005
1689,CCOC(=O)c1cc(C)sc1NC(=O)c1ccc(Cl)s1,5.49,2005
1685,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,5.51,2005
1682,NC(=O)C1CCN(c2nc(-c3ccc([N+](=O)[O-])cc3)cs2)CC1,5.53,2005
1674,O=C(Nc1ncnc2sc3c(c12)CCC3)c1ccco1,5.6,2005
439,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc2ccccc2c1,30.0,2005
1672,CCc1ccc(C2N=C(N)Nc3nc4ccccc4n32)cc1,5.62,2005
1658,COc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)NCc4nc5ccccc5[nH]4)c3)c3ccccc23)cc1,5.72,2005
430,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cccnc1,30.0,2005
1648,CC(C)(C)CC(C)(C)c1ccc(O)cc1,5.8,2005
1645,Cc1cccc(-n2cnc3cc(C(=O)N4CCCCC4)ccc32)c1,5.85,2005
1637,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.9,2005
1635,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,5.93,2005
1628,Cc1ccc(C(=O)N2CCc3cc(-c4nc(NC(=O)Cc5ccc6c(c5)OCO6)sc4C)ccc32)cc1,6.0,2005
426,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccncc1,30.0,2005
454,Cc1ccccc1C(=O)N1CCc2cc(-c3nc(NC(=O)c4ccc5c(c4)OCO5)sc3C)ccc21,30.0,2005
1564,Cc1cc(Nc2ccc(Br)c(C)c2)n2nc(C)nc2n1,6.7,2005
1703,COc1ccc(C2=Nc3ccc(C)cc3C(c3ccccc3)N2CC(=O)NN)cc1,5.3,2005
1474,CCN(CC)S(=O)(=O)c1ccc2oc(C(=O)Nc3ccc(Br)cc3F)c(C)c2c1,7.91,2005
1473,COc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)ccc1OCc1ccc(F)cc1,7.99,2005
1470,CC(Nc1nc(N2CCN(S(C)(=O)=O)CC2)nc2ccccc12)c1ccccc1,8.03,2005
1461,COc1ccc(C2=Nc3ccc(Br)cc3C(c3ccccc3)N2CC(=O)NN)cc1,8.16,2005
1456,COc1ccc(CCNC(=O)c2cc3c(=O)n4ccccc4nc3n(CCCN3CCOCC3)c2=N)cc1,8.26,2005
1454,Cc1ccc(NC(=O)c2cc(-c3ccc(C)o3)nc3ccccc23)nc1,8.3,2005
1450,Cn1c(CN2CCCC2)nc2cc(NC(=O)COc3ccc(Cl)cc3)ccc21,8.4,2005
1475,CCN1CCN(CCCOc2ccc(-c3ccccc3)cc2)CC1,7.9,2005
1445,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,8.47,2005
1440,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,8.51,2005
1438,CC(C)(C)c1ccc(C(=O)N2CC(=O)Nc3ccc(F)cc3C2c2ccc(F)cc2)cc1,8.57,2005
1436,Cc1sc(NC(=O)Cc2ccc3c(c2)OCO3)nc1-c1ccc2c(c1)CCN2C(=O)C1CCCCC1,8.6,2005
1433,c1ccc(Nc2cc(-c3ccoc3)ncn2)cc1,8.6,2005
1432,Nc1ncnc(N2CCc3ccccc32)c1[N+](=O)[O-],8.6,2005
1428,CCOC(=O)N1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccc(F)cc2)CC1,8.7,2005
1427,Cc1ccc(-c2[nH]n3c(=O)c4c(nc3c2C)CCCC4)cc1,8.72,2005
1444,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(S(=O)(=O)N2CCOCC2)c1,8.47,2005
1571,CCCCCOc1ccccc1/C(=C\SC)n1ccnc1,6.67,2005
1477,Fc1ccccc1Nc1nc(-c2ccncc2)nc2ccccc12,7.9,2005
1493,Clc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,7.7,2005
1558,Cc1ccccc1CN1C2=NCCN2C(=O)C2=C1CCN(Cc1ccccc1)C2,6.82,2005
1556,CCc1nc2c(sc3nc4c(cc32)COC(C)(C)C4)c(=O)n1Cc1ccco1,6.88,2005
1548,Cc1ccccc1CSc1nc2ncc(Br)cc2[nH]1,7.0,2005
1546,O=C(CSc1ccccc1)Nc1nnc(COc2ccc(Cl)cc2)s1,7.0,2005
1542,CCCn1cnc2cc(NCc3ccc(OC)cc3OC)ccc21,7.1,2005
1541,Cc1cc(C(=O)Nc2nnc(C3CCCCC3)s2)cs1,7.1,2005
465,O=C(Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,30.0,2005
1481,COc1ccc(OC)c(-c2cc(C(=O)N3CCN(c4ncccn4)CC3)c3ccccc3n2)c1,7.87,2005
1538,CCc1ccccc1Nc1ncnc2c1cnn2-c1ccc(Cl)cc1,7.13,2005
1525,CCN(CC)CCCC(C)Nc1cc(C=Cc2ccccc2Cl)nc2cc(Cl)ccc12,7.34,2005
1516,Cc1ccc2c(c1)[nH]c1c(N3CCN(Cc4ccccc4)CC3)ncnc12,7.49,2005
471,O=S(=O)(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc2ccccc2c1,30.0,2005
1513,N#C/C(=C\c1ccc(Sc2ccc(Cl)cc2)o1)c1nc2ccccc2[nH]1,7.56,2005
1509,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,7.59,2005
1506,COc1ccc(S(=O)(=O)N2CCN(C(=O)C3COc4ccccc4O3)CC2)cc1,7.6,2005
1502,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,7.65,2005
1533,Cc1noc(C)c1C(=O)N1CCC2(CCCN(Cc3ccccc3)C2)CC1,7.2,2005
1715,CCOC(=O)c1c(NC(=O)CN2CCCCC2)sc2c1CCN(C(=O)OCC)C2,5.2,2005
1727,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,5.1,2005
1722,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,5.17,2005
710,CCOP(=O)(Cc1ccc(C(=O)Nc2ccc(Br)cc2C#N)cc1)OCC,30.0,2005
1863,Cc1cc(SCC(=O)c2ccccc2)n2ncc(-c3ccccc3)c2n1,3.77,2005
1861,CCN(CC)S(=O)(=O)c1cccc(C(=O)Nc2ccc(C#N)cc2)c1,3.8,2005
1859,CCOc1cc(CNc2ccc(O)cc2)ccc1OCc1ccc(Cl)cc1,3.84,2005
1858,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,3.84,2005
1856,NC(=O)C1CCN(c2nc(-c3ccccc3)cs2)CC1,3.88,2005
1854,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,3.89,2005
1853,COc1ccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c(O)c1,3.9,2005
1849,Cc1c(O)ccc2c1OC(C)(C)CC2,3.9,2005
1840,O=C1C2=C(Nc3ccccc3SC2c2ccco2)c2ccccc21,4.01,2005
1839,CCC(Sc1nc2ccccc2c2nc(CCc3c(C)n[nH]c3C)nn12)C(=O)Nc1ccc(F)cc1,4.01,2005
1837,COC(=O)c1ccc([C@H]2c3[nH]c4ccccc4c3C[C@H](C(=O)OC)N2C(=O)CCl)cc1,4.02,2005
1836,COc1ccc(CCN2C(=O)N(c3ccc(F)cc3)C(=O)C2CC(=O)Nc2ccc(F)c(F)c2)cc1,4.04,2005
362,Nc1nccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,30.0,2005
364,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,30.0,2005
1869,Oc1ccc(CNc2ccccc2F)c2cccnc12,3.7,2005
1875,O=C(Nc1ccc(Br)cc1)c1ccc(F)c(S(=O)(=O)NC2CCCCCC2)c1,3.66,2005
1878,COc1ccc(C2c3c(ncn(CCN4CCOCC4)c3=N)Oc3ccc4ccccc4c32)cc1OC,3.6,2005
1884,CCOC(=O)c1cc(-c2ccco2)nc2c1c(C)nn2CCC#N,3.57,2005
1955,CN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,3.04,2005
1953,CCCOC(=O)c1ccc(Oc2c(-c3ccc(O)cc3O)n[nH]c2C)cc1,3.04,2005
