index,smiles,half-life
183,CS(=O)(=O)C1=CC=CC=C1C2=CSC(=N2)N3CCC(CC3)C(=O)N,30.0
186,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)N,30.0
187,CC(=O)NC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30.0
188,CN(C)C(=O)C1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30.0
189,CS(=O)(=O)C1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30.0
190,CS(=O)(=O)C1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30.0
195,CN(C)C(=O)C1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,30.0
201,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)N,30.0
202,COC1=C(C=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N)OC,30.0
203,COC1=CC(=CC(=C1OC)OC)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30.0
204,CC(C)OC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30.0
205,CC(C)(C)OC(=O)NC1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,30.0
207,C1CN(CCC1N)C2=NC(=CS2)C3=CC=C(C=C3)Br,30.0
209,CC(=O)NC1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,30.0
795,CNC(=O)C1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,26.16
813,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3N,25.27
824,C1CN(CCC1C#N)C2=NC(=CS2)C3=CC=C(C=C3)Br,24.74
1074,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)C#N,16.23
1110,COC1=CC=CC=C1C2=CSC(=N2)N3CCC(CC3)C(=O)N,15.03
1171,CC(C)(C)C1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,13.93
1344,CN(C)C1=CC=CC=C1C2=CSC(=N2)N3CCC(CC3)C(=O)N,9.95
1392,CCOC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,9.24
1500,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)OC(F)(F)F,7.66
1532,CC(C)COC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,7.23
1545,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)F,7.09
1680,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3C(F)(F)F,5.58
1682,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)[N+](=O)[O-],5.53
1700,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)C(F)(F)F,5.39
1770,COC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,4.68
1785,CC(=O)C1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,4.4
1825,CN(C)C1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,4.12
1838,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3Cl,4.02
1848,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3[N+](=O)[O-],3.9
1856,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3,3.88
1865,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3C#N,3.76
1903,C1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,3.45
1947,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)Cl,3.09
1949,CC(C)OC1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,3.09
1954,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3F,3.04
1988,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3Br,2.86
2114,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)[N+](=O)[O-],2.3
2133,CC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,2.22
2136,CC(=O)C1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,2.21
2147,CCOC(=O)C1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,2.19
2172,COC1=CC(=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N)OC,2.09
2182,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)Br,2.06
2201,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)C(F)(F)F,1.99
2215,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)F,1.95
2235,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)Cl,1.88
2270,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)Br,1.77
2279,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC(=C3)C#N,1.74
2333,CC1=CC(=CC=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,1.66
