index,smiles,half-life
9,Cc1cc(F)ccc1OC1CN(Cc2ccc(C#N)cc2)C1,35.4
13,Cc1cc(OC2CN(Cc3ccc(C#N)cc3)C2)ccc1F,43.8
21,N#Cc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,62.9
24,N#Cc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,71.4
69,COc1ccc(OC2CN(Cc3ccc(C#N)cc3)C2)cc1,120.0
99,COc1ccc(CN2CC(Oc3ccc(F)cc3C)C2)cc1,21.0
103,COc1ccc(CN2CC(Oc3ccc(F)c(C)c3)C2)cc1,21.6
111,COc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,36.3
114,COc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,30.0
157,COc1ccc(CN2CC(Oc3ccc(OC)cc3)C2)cc1,120.0
14,Cc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,49.0
25,COc1ccc(-c2[nH]nc3ncc(-c4cccc(F)c4)nc23)c(C)c1,75.8
46,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3C#N)nc12,120.0
104,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3)nc12,88.7
115,COc1ccc(-c2[nH]nc3ncc(-c4ccccc4)nc23)c(C)c1,51.4
135,COc1ccccc1-c1cnc2n[nH]c(-c3ccccc3C)c2n1,120.0
181,COc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,120.0
188,COc1ccccc1-c1[nH]nc2ncc(-c3ccccc3)nc12,69.5
54,COCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,120.0
63,CCOCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,120.0
142,COCCOC1CCN(C(=O)Nc2ccccc2)CC1,120.0
151,CCOCCOC1CCN(C(=O)Nc2ccccc2)CC1,120.0
33,CNC(=O)[C@@H]1CN(C(=O)c2cccc(C#N)c2)C[C@H]1COC,86.6
68,CN(C)[C@@H]1CN(C(=O)c2ccc(C#N)cc2)C[C@H]1CO,120.0
122,CNC(=O)[C@@H]1CN(C(=O)c2cccc(OC)c2)C[C@H]1COC,120.0
156,COc1ccc(C(=O)N2C[C@@H](N(C)C)[C@H](CO)C2)cc1,120.0
30,COc1cncc(Nc2ncc(-c3cccc(F)c3)c3c2OCC3)c1,80.3
59,Fc1cccc(-c2cnc(Nc3cccnc3)c3c2CCO3)c1,120.0
119,COc1cncc(Nc2ncc(-c3ccccc3)c3c2OCC3)c1,120.0
147,c1ccc(-c2cnc(Nc3cccnc3)c3c2CCO3)cc1,120.0
180,N#Cc1ccnc(-c2nnc3ccc(NCc4cnccn4)nn23)c1,120.0
187,COc1ccnc(-c2nnc3ccc(NCc4cnccn4)nn23)c1,120.0
179,CN1CCOC2(CCN(Cc3cccc(C#N)c3)CC2)C1=O,120.0
186,COc1cccc(CN2CCC3(CC2)OCCN(C)C3=O)c1,120.0
178,Fc1cccc(Nc2ncc(-c3cncnc3)c3c2OCC3)c1,120.0
185,c1ccc(Nc2ncc(-c3cncnc3)c3c2OCC3)cc1,120.0
126,O=c1c2nc(Nc3ccccc3)ccc2ncn1-c1ccccc1,120.0
177,O=c1c2nc(Nc3cccc(F)c3)ccc2ncn1-c1ccccc1,93.9
89,CCN1CCN(C(=O)C2Cn3cccc3C(=O)N2CC(C)C)CC1,120.0
176,CC(C)CN1C(=O)c2cccn2CC1C(=O)N1CCN(C)CC1,107.3
88,Cc1nn2c(c1-c1ccccc1Oc1ccccc1)N(Cc1cccc(C#N)c1)CCC2,120.0
175,Cc1nn2c(c1-c1ccccc1Oc1ccccc1)N(Cc1ccc(C(=O)O)cc1)CCC2,120.0
87,CC1(c2ccccc2)N(Cc2ccccc2)C(=O)OC12CCN(Cc1cccc(C#N)c1)CC2,120.0
189,CC1(c2ccccc2)N(Cc2ccccc2)C(=O)OC12CCN(Cc1ccc(C(=O)O)cc1)CC2,120.0
86,CCN1CCN(C(=O)c2ccc3nccn3c2)CC1,120.0
174,CN1CCN(C(=O)c2ccc3nccn3c2)CC1,120.0
85,CCN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,120.0
173,CN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,120.0
84,CCN1CCN(C(=O)c2cc(-c3ccccc3OC)c3nncn3n2)CC1,120.0
172,COc1ccccc1-c1cc(C(=O)N2CCN(C)CC2)nn2cnnc12,120.0
83,CCN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,120.0
171,CN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,120.0
82,CCN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0
170,CN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0
81,CN1c2cc(C(=O)Nc3ccc(C#N)cc3)ccc2C(=O)N2CCCCC21,120.0
