index,smiles,half-life
183,CS(=O)(=O)c1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,30.0
186,NC(=O)C1CCN(c2nc(-c3cccc(N)c3)cs2)CC1,30.0
187,CC(=O)Nc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,30.0
188,CN(C)C(=O)c1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1,30.0
189,CS(=O)(=O)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,30.0
190,CS(=O)(=O)c1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1,30.0
195,CN(C)C(=O)C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0
201,NC(=O)C1CCN(c2nc(-c3ccc(N)cc3)cs2)CC1,30.0
202,COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1OC,30.0
203,COc1cc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc(OC)c1OC,30.0
204,CC(C)Oc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,30.0
205,CC(C)(C)OC(=O)NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0
207,NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0
209,CC(=O)NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0
795,CNC(=O)C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,26.16
813,NC(=O)C1CCN(c2nc(-c3ccccc3N)cs2)CC1,25.27
824,N#CC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,24.74
1074,N#Cc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,16.23
1110,COc1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,15.03
1171,CC(C)(C)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,13.93
1344,CN(C)c1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,9.95
1392,CCOc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,9.24
1500,NC(=O)C1CCN(c2nc(-c3ccc(OC(F)(F)F)cc3)cs2)CC1,7.66
1532,CC(C)COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,7.23
1545,NC(=O)C1CCN(c2nc(-c3ccc(F)cc3)cs2)CC1,7.09
1680,NC(=O)C1CCN(c2nc(-c3ccccc3C(F)(F)F)cs2)CC1,5.58
1682,NC(=O)C1CCN(c2nc(-c3ccc([N+](=O)[O-])cc3)cs2)CC1,5.53
1700,NC(=O)C1CCN(c2nc(-c3ccc(C(F)(F)F)cc3)cs2)CC1,5.39
1770,COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,4.68
1785,CC(=O)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,4.4
1825,CN(C)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,4.12
1838,NC(=O)C1CCN(c2nc(-c3ccccc3Cl)cs2)CC1,4.02
1848,NC(=O)C1CCN(c2nc(-c3ccccc3[N+](=O)[O-])cs2)CC1,3.9
1856,NC(=O)C1CCN(c2nc(-c3ccccc3)cs2)CC1,3.88
1865,N#Cc1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,3.76
1903,Brc1ccc(-c2csc(N3CCCCC3)n2)cc1,3.45
