smiles,sdc,sdx,sa,dga,dgp,dgtot
CC1=CC2=CC(=NC(=C2O1)NC3=CC(=CC=C3)F)C4=C(ON=C4C)C,8.1842,0.767,3.7903,-16.3222,-76.5154,-85.8172
CN(CC1=CC(=CC=C1)F)C2CCOC3=CC=CC=C23,7.8084,0.0,2.1929,-6.1343,-49.0782,-55.2125
C1COC2=C1C(=CN=C2NC3=CN=CN=C3)C4=CC(=CC=C4)F,7.9146,0.8501,4.0771,-16.8488,-80.0944,-88.9145
C1CN(C2=C1C=CC=N2)C(=O)C3=CC=C(C=C3)C4=NC=C5N4C=C(N=C5)C6=CC(=CC=C6)F,10.9116,0.0,4.4021,-28.1142,-87.459,-99.3857
CC1=CC=C(C=C1)NC(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,7.6547,0.7293,3.3768,-24.0138,-64.543,-81.4531
C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CC=CS3,7.8471,0.0,2.7741,-8.58,-61.6548,-60.1117
C1=CC(=CC(=C1)F)C2=NOC(=N2)C3=NC(=NO3)C4=CC=NC=C4,6.5297,0.0,3.8417,-19.6288,-74.1312,-70.8747
CN1C=CC(=N1)NC(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC(=CC=C5)F,10.45,0.8091,5.2213,-24.5306,-101.4193,-114.6993
CC1=C(C=CC(=C1)F)OC2CN(C2)CC3=CC=C(C=C3)C#N,8.9039,0.0,2.8982,-11.1481,-60.9466,-68.4535
C1CN2C=C(N=C2N(C1)C(=O)C3=CC=CO3)C4=CC=CC(=C4)C#N,8.6072,0.0,3.8969,-21.3982,-75.5063,-74.1101
C1CN(CC12COC3=CC=CC=C3C(=O)N2)CC4=CC=C(C=C4)C#N,9.4298,0.8577,3.9572,-15.9355,-78.4459,-94.3814
C1C(C2(CN1CC3=CC(=CC=C3)C#N)CN(C2)C4=CC=CC=C4)COC5=CC=CC=C5,11.9342,0.0,3.2488,-18.8717,-65.317,-84.1887
CC1=C(C=CC(=C1)OC2CN(C2)CC3=CC=C(C=C3)C#N)F,8.9354,0.0,2.9305,-11.1475,-61.5616,-69.0463
CC1=CC=CC=C1C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,6.9196,0.7985,3.0929,-18.1227,-60.3396,-70.6549
C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5C=CN=C5)C=N2,12.1686,0.5888,5.6195,-22.2177,-109.038,-116.1059
C1COC[C@@H](CN1CC2=CC(=CC=C2)C#N)O,7.742,0.7255,3.4034,-2.5995,-68.6501,-67.0094
C1=CC=C(C=C1)C2=NC=C(C=N2)NC(=O)C3=CC(=CC=C3)F,7.7851,0.7046,3.5678,-14.5905,-72.8423,-82.3099
CC(C)(C)C1=COC(=N1)[C@@H]2COCCN2CC3=CC(=CC=C3)C#N,10.1849,0.0,3.8079,-6.0484,-74.5478,-60.7581
C1[C@H]([C@@H](CN1CC2=CC(=CC=C2)C#N)C3=CC=CC=N3)CO,8.6891,0.7431,3.3155,-9.3544,-65.0463,-74.4008
C1COC[C@H](N1CC2=CN=CN2)C3=NC=C(N3)C4=CC(=CC=C4)F,8.8347,1.3649,5.0596,-10.2498,-96.9416,-101.0255
C1C(CN1CC2=CC=C(C=C2)C#N)OC3=C(C=C(C=C3)F)F,8.6695,0.0,3.2271,-11.4004,-69.8176,-74.9663
CC1=CC=C(C=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3CC5=CC(=CC=C5)C#N)NC=N4,10.5262,0.6976,4.7376,-23.0484,-87.0976,-90.4366
C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=COC=C3,8.5802,0.0,3.4137,-9.0738,-75.3468,-74.1549
C1C(CN1CC2=CC=C(C=C2)C#N)OC3=CC(=C(C=C3)F)F,8.3626,0.0,3.1578,-11.4078,-67.3909,-73.1088
CC1=C(C=CC(=C1)OC)C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,8.0946,0.7965,3.796,-17.4379,-75.2228,-84.9775
C1CCCN(CC1)C2=NC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC4,9.3082,0.5885,3.3373,-8.9159,-65.2028,-67.8306
C1COC2=C1C(=CN=C2NC3=CC(=CC=C3)F)C4=CN=CC=C4,7.8043,0.8128,3.5069,-16.7957,-70.8647,-84.2188
COC1CCC12CCN(CC2)C(=O)C3=CC=C(C=C3)C#N,9.1933,0.0,3.2418,-6.7038,-66.1455,-65.0989
CC(=O)N1CCC(CC1)CC2=CC=C(C=C2)C(=O)NC3CC3,9.3014,0.5837,3.3396,-2.5136,-68.5556,-62.7689
COC1=CN=CC(=C1)NC2=NC=C(C3=C2OCC3)C4=CC(=CC=C4)F,8.9331,0.8165,4.2032,-16.1088,-85.6303,-94.8877
C1COC2(CCN(CC2)CC3=CC=CC=C3C#N)CC1O,8.8941,0.6576,3.4044,-2.5612,-69.047,-71.6082
C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CSC=C3,8.1563,0.0,2.9584,-8.5799,-65.7225,-63.7455
CNC(=O)[C@@H]1CN(C[C@H]1COC)C(=O)C2=CC=CC(=C2)C#N,10.5193,0.649,4.6853,-5.2985,-93.5502,-91.6374
CC1=C(C(=NO1)C)C2=CC(=CN3C2=CN=C3)C4=CC(=CC=C4)F,8.0566,0.0,2.9845,-17.0396,-60.5049,-67.2355
