mol_idx,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
158,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,30.0,8.0486,0.0,5.2165,-13.5913,-63.7029,-67.7504
1791,C[C@H]1CN(C(=O)c2nn(C)c3ccccc23)C[C@@H]1c1nc(-c2cccnc2)no1,4.4,11.3352,0.0,6.442,-18.5897,-97.0078,-83.9935
791,O=C(O)c1c(Sc2ccccc2)c2cc(Cl)ccc2n1Cc1ccc(Cl)cc1,26.58,8.0871,0.9477,5.4665,-14.8222,-63.4553,-74.703
2077,COc1ccc(-n2c(C)cc(-c3nnc4n3CCCCC4)c2C)cc1,2.4,9.2698,0.0,4.1165,-10.6708,-63.5731,-57.8855
136,CC1=C(C(=O)Nc2ccccc2)C(c2ccc[nH]2)n2ncnc2N1,30.0,7.345,2.1448,5.6667,-18.0498,-89.6186,-94.7954
2311,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc(S(=O)(=O)N3CCCCC3)c2)c1C,1.7,11.6948,1.3422,8.6397,-3.8755,-110.1195,-93.9585
1413,Cc1cccc2c(C(=O)O)cc(-c3cccs3)nc12,8.96,5.8024,0.9837,4.0046,-13.4815,-50.8855,-64.2287
565,FC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,30.0,8.9258,0.5612,6.6584,-3.6247,-79.1372,-75.6071
2335,CCOc1ccc(CCNC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1OCC,1.66,12.4109,0.5544,7.0067,-9.9897,-86.6168,-92.8342
2186,Oc1ccc(NCc2ccccc2OCc2ccccc2Cl)cc1,2.03,8.526,1.3606,5.1866,-11.6033,-64.4251,-76.0284
2270,NC(=O)C1CCN(c2nc(-c3cccc(Br)c3)cs2)CC1,1.77,7.512,1.4051,5.322,-6.3396,-73.1611,-73.1228
1466,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc(C#N)c1,8.1,9.2118,0.0,3.4185,-16.3685,-61.4492,-61.8612
568,O=C(O)Cc1ccc2oc(-c3ccc(NC(=O)/C=C/c4ccc(Br)cc4)c(F)c3)nc2c1,30.0,9.8358,1.8306,9.2333,-18.2417,-106.8087,-117.9226
1447,COc1cc(C(=O)NC2CCCc3c2[nH]c2c(Cl)cccc32)cc(OC)c1OC,8.45,10.2615,1.4491,8.1136,-11.1936,-98.8549,-103.4167
1104,FC(F)(F)c1cccc(N2CCN(C(=S)Nc3ccccn3)CC2)c1,15.49,9.0003,0.6448,7.0489,-5.8637,-86.767,-76.7934
124,Cn1cc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,30.0,10.779,0.7233,10.5934,-0.2988,-119.5924,-92.3442
1098,CN(C)c1cccc(-c2nnc(N3CCC(C(N)=O)CC3)s2)c1,15.69,8.7828,1.3693,5.517,-6.434,-85.4013,-81.2716
602,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,30.0,12.7832,1.9117,12.7533,-12.9342,-150.4723,-137.5571
407,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,30.0,9.1931,2.2005,7.693,-15.8976,-101.1054,-110.0685
743,CC(C)(O)C=CC(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C,30.0,16.672,2.9068,13.2732,8.3701,-148.9099,-140.5398
2299,Cc1ccc(CCNC(=O)C2CCCN(C(=O)c3cc4sccc4n3C)C2)cc1,1.7,11.6517,0.5388,6.143,-9.7244,-84.9354,-79.7583
720,O=C(O)c1cn(C2CC2)c2cc(N3C[C@@H]4C[C@H]3CN4)c(F)cc2c1=O,30.0,8.2962,1.5474,7.9922,-12.6354,-98.8698,-108.6703
498,Fc1cccc(-c2ccc(Nc3nc(-c4ccncc4)nc4ccccc34)cc2F)c1,30.0,9.8013,0.6381,6.2561,-24.5314,-82.7836,-102.0878
1065,O=C1CCc2cc(S(=O)(=O)Nc3ccc(F)c(Cl)c3)c(F)cc2N1,16.8,6.7611,2.0392,7.946,-8.2496,-88.776,-91.3846
343,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,30.0,5.6188,4.7342,9.3627,-11.9796,-118.7092,-116.6989
1787,CC(C)c1ccccc1-c1ncc(F)c(NCc2ccc(-n3ccnn3)cc2)n1,4.4,10.3563,0.9018,5.6272,-15.4512,-85.2675,-78.6063
300,CC(C)(Nc1nc(-c2ccccc2C(F)(F)F)nc2ccccc12)c1ccc(-c2cccc(C(F)(F)F)c2)cc1,30.0,12.9505,0.5196,10.0397,-15.3987,-107.7513,-94.5187
2067,CCCN1CNc2c(c(=O)[nH]c(=S)n2CCc2cccc(Cl)c2Cl)C1,2.47,8.2334,1.5274,6.3865,-1.6758,-86.315,-85.4984
650,CN1CCCC1CCOC(c1cc2nccc(C(=O)O)c2[nH]1)c1ccccc1Cl,30.0,9.6473,1.8915,7.8169,-6.7185,-100.4905,-107.2089
1599,COc1cc(Cl)c(C)cc1NC(=O)CSc1ncc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c(=O)[nH]1,6.38,12.3203,1.9623,10.0862,-4.5469,-123.423,-119.7204
680,Cc1noc(-c2cn(C3CCN(C(=O)c4ccc(OC(F)(F)F)cc4)CC3)nn2)n1,30.0,11.2033,0.0,9.1277,-9.9222,-113.3216,-82.2864
1212,Fc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1-c1ccncc1,13.0,9.7183,0.6197,5.4313,-25.329,-82.5591,-102.5571
221,NC(=O)C1CCN(c2cc(-c3ccc4c(c3)OCCCO4)ncn2)CC1,30.0,10.5776,1.4167,7.7536,-10.67,-107.0716,-102.7431
2266,CCOc1cc(F)c(CCNC(=O)c2cc3sccc3n2Cc2ccccc2)cc1OCC,1.8,12.4322,0.4489,8.1527,-12.3137,-96.3932,-100.6363
2278,O=C(NC1CC1)c1ccc(CSCc2ccccc2Cl)o1,1.74,7.4499,0.6078,5.2355,-5.2142,-62.3601,-61.7251
1055,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc(S(=O)(=O)N3CCOCC3)c2)c1C,17.0,11.8648,1.566,9.5322,-3.9625,-118.9966,-103.0897
85,COCCNC(=O)c1ccc(Cn2c(=S)[nH]c3cc4c(cc3c2=O)OCO4)cc1,30.0,10.9827,1.4872,9.9289,-13.7373,-123.1327,-120.1212
1394,CC(C)c1ccccc1-c1nc(NCc2ccc(-c3cccnc3)cc2)c2ccccc2n1,9.21,11.1264,0.6408,3.197,-21.6937,-61.236,-76.9145
267,CC(=O)Nc1ccc(OCc2cn(CC(=O)c3ccc(O)cc3)nn2)cc1,30.0,10.5818,1.4636,8.477,-13.1913,-109.5917,-109.1972
566,O=C(O)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,30.0,11.7079,0.9599,8.9403,-28.2235,-102.0386,-119.0223
291,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1,30.0,6.613,0.6058,3.174,-16.3382,-47.4055,-63.7437
1713,Cc1cc(F)ccc1-c1nc(NCCN=C(N)NC#N)nc2c1ccc(=O)n2-c1c(F)cccc1F,5.23,10.6852,3.4099,10.9697,-20.9712,-145.289,-154.9036
644,CN(C)CCNC(=O)c1nc2nc(-c3ccccc3)c(-c3cccc(Cl)c3)cc2n1C,30.0,11.1644,0.8068,6.4467,-12.612,-94.2554,-85.8509
417,Fc1ccc(Nc2nc(-c3ccccc3)cc(-c3ccncc3)n2)cc1F,30.0,8.2955,0.7969,5.6269,-19.1381,-75.6586,-87.5019
473,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccccc4o3)cc2)c1O,30.0,9.4506,2.5101,8.39,-18.0002,-107.911,-113.8184
1454,Cc1ccc(NC(=O)c2cc(-c3ccc(C)o3)nc3ccccc23)nc1,8.3,8.6139,0.8136,5.2066,-18.6667,-73.9788,-89.3825
2115,O=C1CCCC2=C1C1(CCSCC1)N=C(Nc1nc3ccccc3o1)N2,2.3,8.7881,1.5465,6.3425,-13.2402,-89.5538,-95.8009
2473,Nc1ncc(S(=O)(=O)N2CCN(c3ccccc3)CC2)cn1,1.3,8.9565,1.7332,6.4691,-7.3447,-94.9835,-76.2829
858,O=C(O)CNC(=O)c1c(O)c2ccccc2n(Cc2ccccc2)c1=O,23.58,7.7328,2.7776,7.8719,-14.288,-96.3864,-105.7813
846,Cc1ccccc1C(=O)N1CCc2cc(-c3nc(NC(=O)Cc4ccccc4)sc3C)ccc21,24.0,11.6778,0.8518,5.5105,-20.6272,-78.6724,-91.5834
2523,CN([C@@H](Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,1.0,20.413,0.0,11.9143,-26.4678,-158.695,-132.0267
1162,O=S(=O)(Nc1nccs1)c1ccc(NCc2cccc(Br)c2O)cc1,14.0,7.0385,2.45,6.3389,-11.0174,-84.5141,-90.7267
279,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(Cl)cc3F)CC2)c1,30.0,9.3785,0.7097,6.3167,-5.1866,-82.3136,-78.7821
2526,CCN(C(=O)C(NS(=O)(=O)c1ccc(Br)s1)c1ccccc1)c1ccc(C)c(C)c1,0.99,10.4686,1.0113,6.3359,-5.6175,-78.9703,-72.0439
