mol_idx,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
183,CS(=O)(=O)c1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,30.0,9.6317,1.4184,7.0066,-6.2948,-93.8278,-86.7641
186,NC(=O)C1CCN(c2nc(-c3cccc(N)c3)cs2)CC1,30.0,7.1587,2.6364,5.5331,-8.3216,-85.142,-86.038
187,CC(=O)Nc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,30.0,9.0964,2.0373,6.7784,-7.9032,-96.9973,-97.9604
188,CN(C)C(=O)c1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1,30.0,10.3075,1.3763,6.9305,-6.9122,-98.2418,-89.2728
189,CS(=O)(=O)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,30.0,9.8138,1.5014,7.0806,-6.2919,-95.1426,-86.4659
190,CS(=O)(=O)c1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1,30.0,9.9048,1.4413,7.0997,-6.2968,-95.1599,-86.7744
195,CN(C)C(=O)C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0,9.6722,0.0,5.4833,-4.3844,-73.1945,-61.1161
201,NC(=O)C1CCN(c2nc(-c3ccc(N)cc3)cs2)CC1,30.0,7.1221,2.5744,5.4696,-8.323,-84.4377,-85.9372
202,COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1OC,30.0,9.5433,1.3568,7.0796,-6.7638,-94.6451,-89.9924
203,COc1cc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc(OC)c1OC,30.0,10.5951,1.37,8.4102,-6.0774,-108.7196,-100.0862
204,CC(C)Oc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,30.0,9.2923,1.2995,6.0623,-5.2241,-84.4729,-81.348
205,CC(C)(C)OC(=O)NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0,10.4941,0.6605,7.0562,-2.3275,-90.6449,-74.4949
207,NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0,6.5122,0.8511,4.063,-4.5322,-59.5472,-56.4197
209,CC(=O)NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,30.0,8.6456,0.538,5.385,-5.3703,-73.0639,-71.2758
795,CNC(=O)C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,26.16,8.8766,0.5795,5.4967,-5.3755,-74.4969,-72.179
813,NC(=O)C1CCN(c2nc(-c3ccccc3N)cs2)CC1,25.27,7.1553,2.5229,5.4804,-8.3215,-84.4422,-85.7938
824,N#CC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,24.74,7.6855,0.0,3.467,-10.6028,-52.7733,-56.4076
1074,N#Cc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,16.23,8.1202,1.4806,5.068,-13.1373,-78.2524,-85.4191
1110,COc1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,15.03,8.3703,1.3513,5.8439,-7.4498,-81.3604,-81.755
1171,CC(C)(C)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,13.93,8.6199,1.324,4.5687,-3.7864,-68.9255,-63.8921
1344,CN(C)c1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,9.95,8.9016,1.3086,5.4076,-6.369,-82.5812,-80.4809
1392,CCOc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,9.24,9.0171,1.3415,5.9735,-6.3383,-83.3382,-82.0107
1500,NC(=O)C1CCN(c2nc(-c3ccc(OC(F)(F)F)cc3)cs2)CC1,7.66,8.6638,1.495,8.0235,-4.8398,-96.5467,-80.7406
1532,CC(C)COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,7.23,9.7214,1.294,6.1376,-4.1148,-85.6363,-81.4824
1545,NC(=O)C1CCN(c2nc(-c3ccc(F)cc3)cs2)CC1,7.09,7.7309,1.3997,5.919,-7.3911,-77.6212,-79.0247
1680,NC(=O)C1CCN(c2nc(-c3ccccc3C(F)(F)F)cs2)CC1,5.58,8.6327,1.5041,7.9749,-4.5182,-94.0451,-81.9097
1682,NC(=O)C1CCN(c2nc(-c3ccc([N+](=O)[O-])cc3)cs2)CC1,5.53,8.7035,1.5807,7.0545,-9.092,-89.9956,-87.2744
1700,NC(=O)C1CCN(c2nc(-c3ccc(C(F)(F)F)cc3)cs2)CC1,5.39,8.5148,1.4678,7.7407,-4.5275,-91.9178,-80.2102
1770,COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,4.68,8.567,1.2999,5.8678,-7.4506,-81.8822,-81.6351
1785,CC(=O)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,4.4,9.009,1.4367,5.9948,-7.6833,-83.5149,-84.172
1825,CN(C)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,4.12,8.7679,1.2639,5.2839,-6.3785,-80.9736,-79.1591
1838,NC(=O)C1CCN(c2nc(-c3ccccc3Cl)cs2)CC1,4.02,7.4196,1.3655,5.164,-6.5975,-71.8392,-71.9887
1848,NC(=O)C1CCN(c2nc(-c3ccccc3[N+](=O)[O-])cs2)CC1,3.9,8.2872,1.469,6.6976,-9.1006,-84.7821,-83.9564
1856,NC(=O)C1CCN(c2nc(-c3ccccc3)cs2)CC1,3.88,7.3214,1.3528,4.3604,-8.1365,-65.9518,-66.8863
