index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
63,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1,6.0,13.1753,1.4177,11.3044,-7.3559,-125.8906,-119.4889
31,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,0.02,13.5111,1.4207,11.3568,-6.2528,-126.6494,-118.8729
59,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(=O)n(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.5,16.0445,0.4669,10.707,1.7007,-139.4358,-106.927
36,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,1.05,14.3602,1.4427,11.1821,-12.7881,-132.5301,-133.0786
58,C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(F)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,0.08333,15.1827,2.1547,13.8263,-9.292,-166.8831,-159.7936
48,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,0.08333,9.2691,2.1845,6.7341,-4.0721,-91.4808,-95.5529
17,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccc(F)cc3C2=O)CN1,0.6833,16.5242,0.5758,12.2647,-10.8901,-150.3381,-131.8131
35,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.2,13.6379,1.5189,11.7804,3.7396,-126.0532,-105.3988
43,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0.08333,10.6427,1.6541,7.7317,-12.8246,-107.8259,-107.542
29,O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCNC(=O)c4ccc5c(c4)nc(Nc4cccc(Cl)c4)c4ccncc45)c3C2=O)C(=O)N1,0.2433,18.7621,3.2764,15.83,-24.805,-206.8013,-216.3639
8,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,0.08333,12.9653,2.1673,11.4615,0.7283,-137.7525,-132.8762
54,Cc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.085,15.228,2.264,11.3516,-9.7723,-149.726,-141.017
41,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.1833,13.0869,1.7331,10.0314,3.9545,-113.2607,-91.43
45,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,0.465,10.1103,0.0,4.3849,-1.3559,-59.3368,-52.7054
47,CCOc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(OC(C)C)O[C@H]2[C@@]1(C)F,1.267,13.2986,1.6097,12.8569,0.5323,-158.3569,-69.209
20,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1,0.6333,16.3137,0.5551,9.6248,-12.367,-132.1159,-113.1763
57,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(N[C@@H](C)CO)ncc4Cl)cc3C2=O)c1,0.4833,14.5316,3.0593,13.9043,-7.1448,-171.5126,-162.6954
40,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)C(C)(C)C)cc1,0.02833,25.6607,2.6905,19.9297,-3.0448,-248.1479,-221.7528
26,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.055,11.3423,0.8277,7.4642,-8.5432,-94.4009,-96.1526
39,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnc(OC)c5)ncc4Cl)cc3C2=O)c1,0.45,15.7138,2.0529,13.8445,-16.5596,-173.4983,-168.4566
14,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3cc(F)ccc3C2=O)CN1,0.6167,16.5645,0.6033,12.3494,-10.8873,-151.1658,-132.6847
51,Cc1cccc([C@@H](CO)NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.1667,15.0106,2.2704,11.3423,-10.8881,-149.8355,-141.1325
4,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc([C@@H](O)c4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.4667,16.1364,1.2573,11.2801,3.1099,-147.7768,-118.6864
18,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0.025,12.7317,0.557,6.5595,-12.9874,-91.6052,-96.983
9,CC(C)O[P@@]1(=O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@@]3(CCO3)[C@@H]2O1,2.183,12.0807,1.0943,11.7179,0.384,-136.0886,-70.2015
56,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1,0.08333,12.9622,1.4147,9.4342,-6.9455,-106.5992,-101.5039
7,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.09833,15.5614,0.4823,9.4647,2.0597,-128.1088,-99.6563
37,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,6.0,12.801,2.3017,11.5873,-9.0346,-133.94,-132.0421
65,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(C#N)cn2)CC1,0.2333,14.5111,1.5032,11.3539,-12.7954,-134.6825,-132.9979
70,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ncc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.3833,16.4179,2.3534,14.5241,-9.3919,-181.9641,-173.2749
69,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5cnn(C)n5)ncc4Cl)cc3C2=O)c1,0.3167,15.2116,2.4744,13.5912,-16.1273,-176.0301,-167.4633
16,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccc(C#N)cc3C2=O)CN1,0.5667,17.1894,0.6496,11.6822,-16.6307,-153.5155,-140.7573
