index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
36,N#Cc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,93.2,8.7086,0.7824,4.7992,-7.9813,-74.8159,-75.7409
99,COc1ccc(CN2CC(Oc3ccc(F)cc3C)C2)cc1,21.0,9.0057,0.0,5.4449,-5.4621,-61.984,-64.2397
105,O=C(NCCCn1ccnc1)c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1,50.8,11.8022,0.5693,6.0369,-22.962,-97.4176,-104.7481
76,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2ccoc2)CCC3)c1,120.0,8.4416,0.0,5.1732,-21.4114,-74.7913,-79.3661
94,O=C(c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1)N1CCc2cccnc21,13.3,11.16,0.0,5.012,-28.8486,-80.6626,-90.7468
69,COc1ccc(OC2CN(Cc3ccc(C#N)cc3)C2)cc1,120.0,9.048,0.0,4.5521,-12.2078,-62.8047,-71.4048
30,COc1cncc(Nc2ncc(-c3cccc(F)c3)c3c2OCC3)c1,80.3,8.9563,0.835,6.7387,-16.1098,-85.719,-95.001
128,COc1cccc(-c2c(C(=O)NC3CC3)nc3sccn23)c1,120.0,7.136,0.8155,5.2124,-14.7074,-71.5991,-76.2333
165,O=C(c1cccnc1)N1CCC(Oc2ccccc2)C1,102.2,8.5024,0.0,4.5324,-9.9294,-61.3329,-61.3992
57,C[C@@]1(O)CCN(Cc2ccc(C#N)cc2)C[C@H]1N1CCCC1,120.0,8.8322,0.5687,4.4817,-1.3792,-67.661,-65.471
32,O=C(c1ccsc1)N1CCC(Oc2cccc(F)c2)C1,82.6,8.1245,0.0,5.6972,-8.5869,-64.6036,-62.697
13,Cc1cc(OC2CN(Cc3ccc(C#N)cc3)C2)ccc1F,43.8,8.9228,0.0,4.8266,-11.1485,-60.9696,-68.6047
