index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
439,CN1C(=O)c2ccccc2[S@+]([O-])c2ccc(C(=O)NCc3ccc(Br)cc3)cc21,0.4181064270905321,10.3104,0.7256,7.5559,-14.2816,-86.2027,-96.3091
199,COc1ccc(Nc2nc(-c3cccc(OC)c3)no2)cc1,0.6689702833448514,7.9839,0.7574,5.7781,-13.3511,-77.5019,-76.041
16,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)C4)CC2)cc1,0.9364201796821008,11.5736,0.9082,8.4706,-9.3795,-106.3223,-95.716
266,CCCN1CNc2c(c(=O)[nH]c(=S)n2CCc2ccc(OC)c(OC)c2)C1,0.5908776779543884,10.5337,1.4283,7.9921,-3.3792,-107.3991,-104.338
544,Cc1ccc(S(=O)(=O)c2cnc(SC(C)C(=O)Nc3ccccc3)[nH]c2=O)cc1,0.3393227366966137,9.9006,1.5775,7.1865,-10.0117,-95.1195,-100.01
1106,CC(C)c1ccc(S(=O)(=O)c2cnc(SCC(=O)Nc3ccc4c(c3)OCCO4)[nH]c2=O)cc1,0.1015894955079474,12.3484,1.6696,10.3973,-11.9352,-128.9812,-129.5275
799,Cc1nn(CCc2nc(-c3ccc(OC(F)F)cc3)cs2)c2[nH]c(=O)cc(C(F)(F)F)c12,0.2073255010366275,10.6435,0.9391,10.6311,-10.4051,-118.2564,-106.0762
1609,CC(C)Oc1ccc(-c2ccc(=O)n(CC(=O)NCCc3ccccc3)n2)cc1,0.0241879751209398,11.5206,0.7399,6.5854,-9.4559,-87.5525,-84.1616
1672,Fc1ccccc1CNCc1ccc(-c2ccnc3[nH]ccc23)cc1,0.0196959225984796,8.1083,1.3573,4.3783,-15.6734,-63.1835,-78.8569
753,O=C(c1ccc2c(c1)ncn2-c1ccc(C(F)(F)F)cc1)N1CCCCC1,0.2315134761575674,10.061,0.0,7.4038,-10.2485,-86.2782,-71.913
731,Cc1nn2c(c1-c1ccccc1-c1ccccc1)N(Cc1ccc(C(=O)O)s1)CCC2,0.2387698686938493,10.4432,0.8322,5.0191,-19.9538,-71.5838,-80.6954
1174,Oc1c(CN2CCN(c3ccccn3)CC2)cc(Cl)c2cccnc12,0.080511402902557,8.9147,0.7428,5.4167,-11.1099,-78.1648,-80.8599
200,Cc1ccc(Nc2nc(C)c(NC(=O)c3ccc(C)cc3)c(Nc3ccc(C)cc3)n2)cc1,0.6644782308223911,10.4763,2.1682,5.4254,-17.5624,-87.6401,-99.6977
712,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc(C#N)c1,0.248790601243953,9.2118,0.0,3.4185,-16.3685,-61.4492,-61.8612
487,O=[S+]([O-])(Nc1nccs1)c1ccc(NCc2cc(Cl)cc(Br)c2O)cc1,0.3835521769177609,6.7441,2.5438,7.3118,-8.225,-88.2577,-90.8991
1330,O=S(=O)(Nc1cccc2cccnc12)c1ccc(NCc2ccc(Br)cc2O)cc1,0.0518313752591568,9.3691,2.5289,7.4408,-16.9636,-97.6269,-107.4702
1581,CCOc1ccc(CCNC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1OCC,0.0262612301313061,12.4109,0.5544,7.0067,-9.9897,-86.6168,-92.8342
549,Cc1ccccc1C(=O)Nc1nc2c(s1)CC(C(C)(C)C)CC2,0.331720801658604,7.0843,0.6741,3.1329,-3.7116,-45.6982,-48.0183
1156,O=C(Nc1cccc(C(F)(F)F)c1)C1=CCN(Cc2ccc(F)cc2)CC1,0.0863856254319281,10.0048,0.6796,8.4074,-4.4833,-90.8411,-85.0122
950,CN(C)c1ccc2cc(C(=O)N[C@@H](CCCN=C(N)CCl)C(=O)NCc3ccccc3)ccc2c1,0.1520387007601935,13.2491,2.7816,8.6761,-6.1905,-124.1095,-128.1785
1186,CCOc1ccc(NC(=O)c2cccc(-n3cccc3)c2)cc1S(=O)(=O)N1CCOCC1,0.078092605390463,13.0729,0.619,9.0834,-10.4153,-114.8819,-107.2621
586,c1ccc2c(NC3CCCCC3)nc(-c3ccncc3)nc2c1,0.3144436765722184,7.9857,0.5263,3.2535,-12.3096,-59.3341,-65.5571
1038,CCCCc1ccc(NC(=O)c2ccc3c(c2)N(S(C)(=O)=O)CC3)cc1,0.1202487906012439,10.448,0.6114,5.9514,-5.9433,-76.7961,-64.2497
911,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1c(F)cc(F)cc1F,0.165860400829302,8.001,2.1687,8.8695,-17.7568,-105.3418,-123.0878
311,O=C1CCc2cc(S(=O)(=O)Nc3ccc(F)c(Cl)c3)c(F)cc2N1,0.5494125777470629,6.7611,2.0392,7.946,-8.2496,-88.776,-91.3846
57,COc1cc(CNCCO)cc(Cl)c1OCc1ccc(Cl)cc1Cl,0.8507256392536282,8.0335,1.4624,7.6103,2.7764,-84.8316,-77.298
535,CCC(CC)c1cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(C)=O)nc(-c2ccncc2)n1,0.347270214236351,11.9849,0.4802,5.6726,-5.6376,-90.3431,-89.3569
1471,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(Cl)c(Cl)c1,0.0345542501727712,8.3027,0.0,4.0548,-8.292,-58.4981,-50.0614
583,COc1cccc(CNc2ccc(S(=O)(=O)Nc3ccc4ccccc4c3)cc2)c1O,0.3144436765722184,10.4034,2.2925,7.2627,-18.0326,-94.3022,-104.5801
44,Cc1cc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)nc2ccccc12,0.8673116793365584,10.7027,0.7154,7.5947,-10.2575,-93.7493,-85.9672
101,Cc1ccc(-c2cc(C(=O)Nc3ccccn3)c3ccccc3n2)cc1,0.7902557014512784,8.1414,0.6929,3.5118,-19.7475,-56.0108,-75.7583
275,CC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(=O)c2ccccc2C)c(C)s1,0.5908776779543884,9.9357,0.9539,5.5212,-14.9487,-76.4288,-83.3515
1240,CCOc1cc(-c2nccc3cc(OC)c(OC)cc23)cc(OCC)c1OCC,0.0656530753282653,11.4606,0.0,7.8783,-7.3941,-92.7335,-88.0888
354,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,0.4923980649619903,9.3582,2.1987,5.753,-14.8661,-91.737,-106.6031
102,COCC(C)Nc1ncnc2c1cnn2-c1ccc(C)c(C)c1,0.7868002764340014,8.3761,0.5756,4.7986,-6.9583,-75.3717,-68.2668
1041,FC(F)(F)c1ccccc1-c1nc(NCc2cccc3ccccc23)c2ccccc2n1,0.1185210780926053,9.9121,0.6556,6.1245,-20.8677,-74.6263,-78.6555
108,C[C@@]1(CO)CN(c2cc(C(=O)Nc3ccc4c(c3)-c3c(c(C(N)=O)nn3-c3ccc(F)cc3)CC4)c(Cl)cn2)C[C@]1(C)CO,0.7695231513476158,14.2663,3.7727,12.9891,-15.7366,-166.4834,-170.1502
1269,CCOC(=O)c1ccc(-n2c(C)cc(-c3nnc4n3CCCCC4)c2C)cc1,0.0621976503109882,11.119,0.0,5.7496,-10.1094,-81.4132,-65.5473
1758,O=c1[nH]nc(Sc2ncc([N+](=O)[O-])s2)n1-c1ccc2c(c1)OCCO2,0.0041465100207325,6.4813,1.1231,7.2331,-16.6693,-87.5799,-95.6785
742,Cc1cc(C)c(C(=O)Nc2cccc([S+](=O)([O-])Nc3ccc(Br)cc3)c2)[nH]1,0.2349689011748445,8.6547,2.3898,8.082,-9.4117,-97.8851,-98.7891
713,Cc1cnc(-c2ccccc2C(F)F)nc1NCc1ccc(-c2cccnc2)cc1,0.248790601243953,10.4913,0.6479,5.7593,-15.7941,-78.7368,-85.5632
608,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1,0.304077401520387,8.8935,1.6892,8.0004,-9.4399,-98.7875,-98.1837
480,CCN1C(=O)c2ccccc2[S@+]([O-])c2ccc(C(=O)NCc3ccc(F)cc3)cc21,0.3835521769177609,11.1395,0.6415,8.4845,-14.2167,-94.3683,-104.1186
1455,Cc1nn2c(c1-c1ccccc1-c1ccccc1)N(Cc1ccc(O)cc1)CCC2,0.0369730476848652,10.4457,0.7181,3.8596,-19.9342,-60.0614,-69.1156
1278,CCn1c(=O)cc(OCC(=O)N2CCN(c3cccc(Cl)c3)CC2)c2ccccc21,0.0608154803040774,12.2516,0.0,7.5776,-11.2671,-96.5625,-83.893
1656,CCOC(=O)C1CCN(C(=O)C2(NC(=O)Nc3ccccc3Cl)CCCC2)CC1,0.0207325501036627,12.7575,1.7918,9.8793,0.3082,-122.3302,-103.1315
129,CCOc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,0.7570836212854181,10.2103,1.9018,9.6528,-10.6058,-107.5738,-107.0288
614,Cc1onc(-c2ccc(F)cc2)c1COc1ccc(C(=O)N2CCS(=O)(=O)CC2)cn1,0.3020041465100208,13.7991,0.0,10.1157,-12.1147,-120.8125,-109.3641
1466,COc1ccc(C2=Nn3c(nnc3-c3ccncc3)SC2)cc1,0.0345542501727712,7.8598,0.0,4.3237,-16.13,-67.1963,-67.5392
409,O=C(C1CCC1)N1CCN(C/C=C/c2ccccc2)CC1,0.4526606772633034,8.8665,0.0,3.3959,-2.0416,-50.174,-40.8244
