index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
30,COc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.0147310164129507,16.2478,2.1011,12.7179,-10.0882,-164.348,-156.2467
33,COc1cc(F)cc([C@H](NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)C(C)O)c1,0.0133402438387857,16.2509,2.2133,14.0006,-9.3423,-173.3099,-164.2615
38,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4ccnc(NC5CCOCC5)n4)cc3C2=O)c1,0.1356365127494989,16.3044,2.2395,13.2876,-10.8803,-167.3468,-163.735
51,Cc1cccc([C@@H](CO)NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.0272429668013915,15.0106,2.2704,11.3423,-10.8881,-149.8355,-141.1325
54,Cc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.0136187318722216,15.228,2.264,11.3516,-9.7723,-149.726,-141.017
58,C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(F)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,0.0133402438387857,15.1827,2.1547,13.8263,-9.292,-166.8831,-159.7936
60,COc1cc(F)cc([C@@H](CO)NC(=O)CN2C(=O)c3cc(-c4nc(NC5CCOCC5)ncc4Cl)ccc3[C@H]2C)c1,0.0197387982357532,16.1772,2.1728,13.9609,-9.3391,-172.6759,-165.227
64,C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(OCCN(C)C)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,0.0272429668013915,18.3828,2.133,15.1877,-4.9245,-191.528,-173.9525
67,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.0967148917890554,15.9847,2.2197,13.8998,-9.343,-171.1762,-163.7842
31,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,0.0027793772774109,13.5111,1.4207,11.3568,-6.2528,-126.6494,-118.8729
63,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1,0.9999999999999998,13.1753,1.4177,11.3044,-7.3559,-125.8906,-119.4889
37,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,0.9999999999999998,12.801,2.3017,11.5873,-9.0346,-133.94,-132.0421
31,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,0.0027793772774109,13.5111,1.4207,11.3568,-6.2528,-126.6494,-118.8729
36,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,0.1745414577797966,14.3602,1.4427,11.1821,-12.7881,-132.5301,-133.0786
37,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,0.9999999999999998,12.801,2.3017,11.5873,-9.0346,-133.94,-132.0421
