index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
9,Cc1cc(F)ccc1OC1CN(Cc2ccc(C#N)cc2)C1,0.2473309608540924,8.9224,0.0,4.8259,-11.1508,-61.3626,-68.7406
13,Cc1cc(OC2CN(Cc3ccc(C#N)cc3)C2)ccc1F,0.3220640569395017,8.9228,0.0,4.8266,-11.1485,-60.9696,-68.6047
21,N#Cc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,0.4919928825622774,8.8354,0.0,6.1887,-11.3965,-71.3745,-75.9314
24,N#Cc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,0.5676156583629893,8.3707,0.0,5.6894,-11.4057,-67.4192,-73.1138
69,COc1ccc(OC2CN(Cc3ccc(C#N)cc3)C2)cc1,1.0,9.048,0.0,4.5521,-12.2078,-62.8047,-71.4048
99,COc1ccc(CN2CC(Oc3ccc(F)cc3C)C2)cc1,0.1192170818505338,9.0057,0.0,5.4449,-5.4621,-61.984,-64.2397
103,COc1ccc(CN2CC(Oc3ccc(F)c(C)c3)C2)cc1,0.1245551601423487,9.1192,0.0,5.4906,-5.4612,-62.3356,-64.6189
111,COc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,0.2553380782918149,9.252,0.0,7.0571,-5.7047,-75.3077,-73.8707
114,COc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,0.1992882562277579,8.8371,0.0,6.6059,-5.713,-71.681,-71.2497
157,COc1ccc(CN2CC(Oc3ccc(OC)cc3)C2)cc1,1.0,9.32,0.0,5.3786,-6.5167,-66.4605,-69.0534
14,Cc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,0.3683274021352313,6.9381,0.7807,4.2656,-18.1204,-61.3539,-71.4512
25,COc1ccc(-c2[nH]nc3ncc(-c4cccc(F)c4)nc23)c(C)c1,0.6067615658362988,8.1188,0.8091,5.7304,-17.4327,-76.8366,-86.1945
46,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3C#N)nc12,1.0,6.9529,0.7995,3.2772,-23.8746,-59.2158,-75.7679
104,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3)nc12,0.7215302491103203,6.5793,0.7599,2.616,-18.8676,-48.3099,-58.8456
115,COc1ccc(-c2[nH]nc3ncc(-c4ccccc4)nc23)c(C)c1,0.389679715302491,7.7469,0.7815,4.1029,-18.181,-64.0154,-73.8605
