index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
41,CNC(=O)C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,0.8728403593642018,8.8766,0.5795,5.4967,-5.3755,-74.4969,-72.179
59,NC(=O)C1CCN(c2nc(-c3ccccc3N)cs2)CC1,0.8420870767104354,7.1553,2.5229,5.4804,-8.3215,-84.4422,-85.7938
70,N#CC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,0.8237733241188666,7.6855,0.0,3.467,-10.6028,-52.7733,-56.4076
320,N#Cc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,0.5297166551485833,8.1202,1.4806,5.068,-13.1373,-78.2524,-85.4191
356,COc1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,0.4882515549412577,8.3703,1.3513,5.8439,-7.4498,-81.3604,-81.755
417,CC(C)(C)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,0.4502418797512094,8.6199,1.324,4.5687,-3.7864,-68.9255,-63.8921
590,CN(C)c1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1,0.3127159640635798,8.9016,1.3086,5.4076,-6.369,-82.5812,-80.4809
638,CCOc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,0.2881824464409122,9.0171,1.3415,5.9735,-6.3383,-83.3382,-82.0107
746,NC(=O)C1CCN(c2nc(-c3ccc(OC(F)(F)F)cc3)cs2)CC1,0.2335867311679336,8.6638,1.495,8.0235,-4.8398,-96.5467,-80.7406
778,CC(C)COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,0.218728403593642,9.7214,1.294,6.1376,-4.1148,-85.6363,-81.4824
791,NC(=O)C1CCN(c2nc(-c3ccc(F)cc3)cs2)CC1,0.213890808569454,7.7309,1.3997,5.919,-7.3911,-77.6212,-79.0247
926,NC(=O)C1CCN(c2nc(-c3ccccc3C(F)(F)F)cs2)CC1,0.1617138908085694,8.6327,1.5041,7.9749,-4.5182,-94.0451,-81.9097
