index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
107,O=C(Nc1cnc(-c2ccccc2)nc1)c1ccccc1,120.0,7.4704,0.6471,3.9158,-15.3358,-60.546,-70.5429
55,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(C#N)cc1,120.0,10.6579,0.0,7.0438,-14.4282,-95.7699,-82.9684
22,Cc1ccc(-c2noc([C@@H]3Cc4nc[nH]c4CN3Cc3cccc(C#N)c3)n2)cc1,63.4,10.7755,0.6772,5.2812,-23.0479,-88.9768,-91.555
17,O=C(Nc1cnc(-c2ccccc2)nc1)c1cccc(F)c1,52.0,7.7236,0.6743,5.4058,-14.5934,-71.9475,-81.4044
112,Cc1ccc(-c2noc([C@@H]3Cc4nc[nH]c4CN3Cc3ccc(C(=O)O)cc3)n2)cc1,102.3,10.9197,1.4945,7.3522,-18.9287,-106.19,-104.2338
143,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(OC)cc1,120.0,11.0047,0.0,7.734,-8.739,-98.8055,-78.5153
61,N#Cc1ccc(CN2CCC3(CC2)CC(=O)c2ccccc2O3)cc1,120.0,9.9305,0.0,4.7945,-14.6077,-66.531,-81.1386
49,N#Cc1cccc(CN2CC[C@H](c3nc4ccccc4[nH]3)C2)c1,120.0,8.127,0.6808,3.2243,-16.7382,-59.0933,-75.8315
100,COc1cccc(-c2cn3c(n2)N(C(=O)c2ccco2)CCC3)c1,59.6,9.0056,0.0,6.0593,-15.7076,-79.1746,-70.8251
36,N#Cc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,93.2,8.7086,0.7824,4.7992,-7.9813,-74.8159,-75.7409
158,COc1ccc(CN2CC[C@H](c3nnc(C)o3)C2)cc1,120.0,8.6091,0.0,4.8636,-4.797,-67.6077,-53.2985
76,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2ccoc2)CCC3)c1,120.0,8.4416,0.0,5.1732,-21.4114,-74.7913,-79.3661
26,O=C(NC1CC1)c1ccc(-c2ccc(N3CCCCCC3)nc2)cc1,76.2,9.2933,0.5549,4.1827,-8.9183,-64.6583,-67.3629
163,COc1cccc(CN2CC[C@H](c3nnc(-c4ccco4)o3)C2)c1,118.2,9.1957,0.0,5.7862,-11.5185,-77.1319,-67.7804
164,COc1cccc(-c2cn3c(n2)N(C(=O)c2ccoc2)CCC3)c1,111.9,8.9314,0.0,5.9698,-15.7195,-78.463,-76.2544
82,CCN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0,9.4397,0.0,5.7293,-4.3531,-73.8845,-67.5648
75,N#Cc1cccc(CN2CC[C@H](c3nnc(-c4ccco4)o3)C2)c1,120.0,8.8248,0.0,4.9389,-17.2117,-72.8811,-71.2481
138,COc1cccc(CN2CC[C@H](c3nc4ccccc4[nH]3)C2)c1,120.0,8.4228,0.5619,3.9767,-11.0506,-61.8868,-72.9374
160,COc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,120.0,8.4911,0.0,5.0484,-15.2466,-68.8247,-64.4215
72,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,120.0,8.0303,0.0,4.2042,-20.9328,-64.4866,-67.2095
170,CN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,120.0,9.193,0.0,5.7363,-5.4604,-73.7812,-68.7562
10,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2ccco2)CCC3)c1,36.7,8.0473,0.0,4.8082,-21.4088,-70.6061,-71.563
70,Cc1nnc([C@H]2CCN(Cc3ccc(C#N)cc3)C2)o1,120.0,8.4498,0.0,4.0274,-10.4861,-63.5588,-56.4303
44,COCCNc1ncnc2c1CCN(C(=O)c1cscn1)CC2,110.7,10.5757,0.5708,7.2613,-5.2371,-104.6125,-89.4175
127,O=C(O)c1ccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)cc1,120.0,10.4461,1.4873,8.3208,-11.2326,-103.8196,-109.0208
37,N#Cc1cccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)c1,94.7,9.9759,0.6582,5.9366,-15.3563,-82.6256,-92.68
133,COCCNc1nc(N)nc2c1CCN(C(=O)c1cscn1)CC2,120.0,9.5555,2.3036,8.0371,-5.4176,-117.7042,-103.5673
110,c1ccc(-c2cnc([C@@H]3COCCN3Cc3cnc[nH]3)[nH]2)cc1,120.0,8.3609,1.291,5.2361,-10.9948,-83.5788,-88.5883
108,CC(C)(C)c1coc([C@@H]2COCCN2Cc2ccc(C(=O)O)cc2)n1,113.1,10.2161,0.8626,7.3161,-1.9291,-91.4513,-74.1217
18,CC(C)(C)c1coc([C@@H]2COCCN2Cc2cccc(C#N)c2)n1,56.6,9.9316,0.0,5.1194,-6.0518,-73.3291,-60.1674
106,COc1cccc(CN2CCOC[C@H](O)C2)c1,28.2,7.8289,0.6165,5.9905,3.0886,-72.0406,-64.5618
51,N#Cc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,120.0,10.8427,0.0,7.1958,-12.8333,-98.1947,-84.1647
7,Fc1cccc(-c2noc(-c3nc(-c4ccncc4)no3)n2)c1,26.4,6.5288,0.0,5.4318,-19.6288,-74.0857,-70.8723
16,N#Cc1cccc(CN2CCOC[C@H](O)C2)c1,51.1,7.2629,0.8078,4.7735,-2.6106,-64.4317,-63.4529
97,c1ccc(-c2noc(-c3nc(-c4ccncc4)no3)n2)cc1,25.7,6.4275,0.0,4.1489,-20.3707,-64.9106,-60.4261
20,Fc1cccc(-c2cnc([C@@H]3COCCN3Cc3cnc[nH]3)[nH]2)c1,59.3,8.6917,1.4354,6.9778,-10.2452,-97.3783,-101.0987
139,COc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,120.0,11.3226,0.0,7.9158,-7.143,-101.1512,-80.607
81,CN1c2cc(C(=O)Nc3ccc(C#N)cc3)ccc2C(=O)N2CCCCC21,120.0,10.3266,0.6487,6.3095,-18.0774,-90.4132,-97.0325
89,CCN1CCN(C(=O)C2Cn3cccc3C(=O)N2CC(C)C)CC1,120.0,10.2807,0.0,6.3235,0.8369,-88.3426,-57.8325
145,COc1ccc(CN2CC[C@@](C)(O)[C@H](N3CCCC3)C2)cc1,120.0,8.7028,0.5962,5.2638,4.3096,-69.4814,-62.0042
116,O=C(O)c1ccc(-c2ccc(N3CCCCCC3)nc2)cc1,120.0,8.1546,0.8957,4.6933,-7.8451,-64.2421,-66.0215
142,COCCOC1CCN(C(=O)Nc2ccccc2)CC1,120.0,9.5113,0.5732,6.6887,2.4041,-84.4891,-68.3166
57,C[C@@]1(O)CCN(Cc2ccc(C#N)cc2)C[C@H]1N1CCCC1,120.0,8.8322,0.5687,4.4817,-1.3792,-67.661,-65.471
176,CC(C)CN1C(=O)c2cccn2CC1C(=O)N1CCN(C)CC1,107.3,9.7134,0.0,6.1046,-0.279,-85.5553,-58.2035
54,COCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,120.0,9.9723,0.6058,8.1573,3.1471,-95.5122,-79.2969
169,CN1c2cc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)ccc2C(=O)N2CCCCC21,120.0,10.6219,2.355,8.8431,-11.1588,-117.5915,-110.9148
151,CCOCCOC1CCN(C(=O)Nc2ccccc2)CC1,120.0,9.7004,0.5462,6.5546,3.5135,-83.3914,-66.2179
167,O=C(O)c1ccc2c(c1)n(Cc1ccccc1)c(=O)c1ccnn12,89.0,8.1265,0.9271,6.2069,-19.5616,-80.6824,-88.1523
153,O=C(c1ccncc1)N1CCC(Oc2ccccc2)C1,120.0,8.5091,0.0,4.568,-9.9319,-61.9215,-61.9395
73,CN1CCC(OC2CCN(C(=O)c3cccc(F)c3)CC2)CC1,120.0,10.3545,0.0,6.927,2.3622,-82.9072,-72.5129
79,O=C(O)c1ccc2c(c1)n(Cc1cccc(F)c1)c(=O)c1ccnn12,120.0,8.2705,1.0268,7.5727,-18.8176,-90.8835,-98.2964
74,Cc1noc(-c2cn(C3CCN(C(=O)c4cccc(F)c4)C3)nn2)n1,120.0,9.9987,0.0,7.2533,-13.5824,-96.9044,-78.5256
161,CN1CCC(OC2CCN(C(=O)c3ccccc3)CC2)CC1,120.0,9.496,0.0,5.1108,1.6074,-68.3064,-58.5209
41,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(C#N)cc1)CCCC2,101.4,9.7195,0.6424,6.4187,-13.2672,-86.2004,-92.9441
118,CC(=O)N1CCC(Cc2ccc(C(=O)O)cc2)CC1,120.0,8.0419,0.8829,5.4666,-1.4432,-66.5487,-60.4066
162,Cc1noc(-c2cn(C3CCN(C(=O)c4ccccc4)C3)nn2)n1,120.0,9.5935,0.0,5.7253,-14.3267,-85.28,-66.9529
130,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(S(N)(=O)=O)cc1)CCCC2,120.0,10.0307,2.3699,9.029,-6.3442,-114.2643,-107.6677
63,CCOCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,120.0,10.3663,0.6412,8.341,4.2583,-97.4555,-79.9931
77,O=C(c1cccnc1)N1CCC(Oc2cccc(F)c2)C1,120.0,9.1363,0.0,6.2197,-9.18,-75.2639,-74.1636
86,CCN1CCN(C(=O)c2ccc3nccn3c2)CC1,120.0,8.0321,0.0,4.6499,-5.8604,-70.1964,-58.7647
80,N#Cc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,120.0,10.8867,0.7727,7.425,-5.2958,-98.1398,-95.6343
132,COc1ccc(CN2C[C@@H](CO)[C@H](c3ccncc3)C2)cc1,120.0,9.2063,0.6618,5.1114,-3.6687,-69.4594,-73.1281
141,O=C(c1ccccc1)N1CCC(Oc2cccnc2)C1,120.0,8.6545,0.0,4.7035,-9.925,-63.7747,-58.843
66,CN(CC1CCOC1)C(=O)Nc1cccc(F)c1,120.0,8.3593,0.6202,6.6514,-0.1103,-79.4034,-71.1604
117,COc1ccc(C(=O)N2CCC3(CCC3OC)CC2)cc1,70.0,9.474,0.0,5.8351,-1.0162,-70.3097,-63.0203
