index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
51,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,30.0,5.0886,2.6488,7.1102,-15.6023,-79.6133,-95.2156
45,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,30.0,5.8269,1.6947,6.1576,-15.25,-69.6923,-84.9423
1430,Nc1cc2nc3ccccc3oc-2cc1=O,8.63,4.243,1.7185,4.2489,-14.4218,-58.0551,-69.8745
38,CC(C)=CCNc1ncnc2nc[nH]c12,30.0,5.1419,1.4109,3.6781,-5.7951,-64.2449,-60.6637
1180,NC[C@H](O)c1ccc(O)c(O)c1,13.36,3.3493,4.0952,6.1665,0.7671,-75.6296,-74.8625
307,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,30.0,10.1028,7.1925,17.1868,18.6623,-190.4326,-162.2248
1619,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6.13,4.8109,4.2098,9.0356,-15.906,-100.4349,-116.3409
56,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,30.0,4.6933,4.2102,8.7628,-15.9186,-97.5435,-113.4621
44,N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,30.0,3.3574,3.806,6.2108,2.8832,-73.4316,-70.5484
441,O=C(CCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,30.0,8.8853,1.5989,6.2382,-11.9164,-84.7916,-90.7364
1622,CCOC(=O)C1=C(C)NC(=O)CC1C(=O)Nc1cc(Cl)cc(Cl)c1,6.1,9.0173,1.7127,8.6789,-1.813,-101.8684,-94.1791
444,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc(-c2ccccc2)cc1,30.0,9.3997,1.6729,6.0223,-19.9179,-83.4546,-98.0174
445,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cc(-c2ccccc2)nc2ccccc12,30.0,10.4474,1.6558,6.7661,-25.3569,-96.455,-116.3473
1,CCCCOc1ccc(CC(=O)NO)cc1,30.0,5.9759,1.4605,4.9714,2.3323,-60.5868,-58.2545
1610,CCN(CC)c1ccc(Nc2nc(Cl)ncc2Br)cc1,6.24,6.524,0.757,4.3383,-1.6846,-63.4238,-54.2405
1592,Cc1nn(Cc2ccc(Cl)cc2)c(C)c1NC(=O)c1cc(-c2ccc3c(c2)OCO3)on1,6.4,11.0179,0.848,8.2936,-20.4309,-106.4304,-107.696
