Trial Number,Parameters,Spearman,Predictions,Std
0,"{'learning_rate_init': 0.115263377166058, 'hidden_layer_sizes': [5, 5, 5, 5, 5]}",0.08476104967259239,"[-0.0021776924591153843, 0.004052967953770058, -0.007662748869011582, 0.003928224262268114, -0.004727980888400707, -0.004398767267703181, -0.0004801876018850811, -0.0067964758024962975, 0.0010123166623537034, -0.008046874588275557, -0.00036977672573658887, -0.0008501157778410909, -0.0009716728298195995, 0.0009825111673169018, 0.020906305751258045, 0.025814648688102362, 0.024573431058314717, 0.021981903455057548, 0.021730126130165436, 0.021589680123677176, 0.02633644941841197, 0.016985242732542528, 0.017361281411257142, 0.02127223525683473, 0.015059868997668882, 0.0014619496078067075, 0.015563813842187232, 0.007643349836761936, 0.00917387624799317, 0.0023597995180900436, -0.0008534058310887086, 0.017201512989882605, 0.026764009413443313, 0.02658274760475644, -0.01327210866605417, 0.016455482329256952, 0.013003049768301073, 0.016993934191971902, 0.015034890119662135, 0.016111894283681174, 0.024494733957246592, 0.020406248686480385, 0.022765934703582874, 0.01699945681445782, 0.01329953545553699, 0.018646592061346768, 0.01881245698781059, 0.023080473591983387, 0.026168258457813176, 0.025260993488735978, 0.018926207510846758, 0.024418553764259526, 0.017205933693690317, 0.023477826692541864, 0.0247778138763613, 0.01945303446649421, 0.012804588815051731, 0.0033782818340816014, 0.0003707272995055096, 0.027869317707841523, 0.01235969274415225, 0.016849188161482894, 0.004779340920741437]","[0.002226765247445775, 0.001144169944273746, 0.007032506158745858, 0.006943231546682003, 0.007365032411672476, 0.005688294031832703, 0.0030312088386151444, 0.011709221777745672, 0.0007338093585183482, 0.0064725167150503785, 0.0005842716736543891, 0.011627395078500377, 0.005640752600375902, 0.006046422050770642, 0.012098863263191742, 0.015972829915215724, 0.014347155900957686, 0.013099793373024117, 0.005123590403090784, 0.012434417693023316, 0.015745440489795426, 0.001618829865786497, 0.0024134116392574905, 0.014142545699101667, 0.007921168656340722, 0.004582419641353129, 0.005414912207060683, 0.0021758007515946423, 0.006766249645048035, 0.002220301712004744, 0.007631370669300638, 0.004844398018717418, 0.010119132903877287, 0.015121272412499996, 0.20262122514111983, 0.008300069905114367, 0.0058495991237659415, 0.00863434085009571, 0.01380294708901202, 0.0023512585791483215, 0.004437515652679677, 0.01426709921274615, 0.009371450028867495, 0.021163626589715746, 0.019061266398502967, 0.012677968884299194, 0.010844597830463522, 0.013779189410033952, 0.011681637271337817, 0.0124382342802773, 0.014785646415301086, 0.01218675554487903, 0.009717153448032347, 0.012309642667346415, 0.01050001973026306, 0.010422576652847466, 0.006390966338727786, 0.012824799906358514, 0.01285895548397191, 0.009846308606854665, 0.013664888795663157, 0.011694686031555481, 0.0023960014633612136]"
1,"{'learning_rate_init': 0.11726222670298, 'hidden_layer_sizes': [5, 5, 5, 5, 5]}",0.13514014349303127,"[0.0074882344039033655, 0.01042491020179114, 0.005447814169803435, 0.015497640893106485, 0.008150859101392599, 0.00791872674477522, 0.009604287885499413, 0.010272765023180225, 0.006882221779472055, 0.004080921183475944, 0.007857929560319934, 0.015375704922833308, 0.009821892365882406, 0.011884526137213905, 0.01782660925181233, 0.02030546825636395, 0.020674454219062027, 0.018126392897612188, 0.014337751683488192, 0.018074427567449692, 0.021398916808328422, 0.014810364796632844, 0.014581416920645471, 0.015179958203610261, 0.014349321602904502, 0.009222219203396859, 0.01266110339276641, 0.01093987437298563, 0.016225917674401614, 0.008630211653258049, 0.01112255750427855, 0.01416794242808351, 0.01286186659708391, 0.019213859238357472, 0.09306729417786463, 0.016880195497174483, 0.014506496561939206, 0.017432034858615764, 0.011579727136868084, 0.014555551633762348, 0.01562874763936346, 0.01193120354868459, 0.014459915131042675, 0.0293573305082246, 0.02630724913146564, 0.013134996910198047, 0.01354521380691436, 0.014978644324874993, 0.016308506176166648, 0.011349267738924593, 0.01179828588414856, 0.015248076669843263, 0.009781591149527471, 0.01530649652239588, 0.015789040573981755, 0.020280284274410487, 0.01216739406433597, 0.01836784257202198, 0.0165089771146332, 0.017579859328721203, 0.011914854832463786, 0.013098954478340372, 0.010264259250722376]","[0.004501473628332723, 0.0022722270004060605, 0.00642239945403, 0.0020077228738179485, 0.004592249826050134, 0.004518178677684347, 0.0031189997691227697, 0.003851355485534824, 0.006313186172211319, 0.007155838680208881, 0.00410145672928865, 0.0027625937475686513, 0.0033141963762272054, 0.00212674290722873, 0.003699602419647154, 0.005745279713199052, 0.005731866462281357, 0.004017054890470478, 0.0008290397251269434, 0.0038378006490625426, 0.0063396265494681005, 0.0011709876550431715, 0.0010610657649224287, 0.0076011265631491035, 0.001071370437057988, 0.0035088117798996025, 0.0004052411127414553, 0.0017200348295434052, 0.0021376320983739296, 0.003653229105913983, 0.002855583250905761, 0.002138868560994214, 0.0011417592860426427, 0.005953772227247301, 0.060668187382901556, 0.0027127353527074184, 0.0009342780506972962, 0.0030835673127985706, 0.001712452467044713, 0.0009558537573331618, 0.001962027207634342, 0.0009533241725697001, 0.0009613343095094394, 0.01141706470414667, 0.009292219652646766, 0.009049036704249908, 0.008774023604808246, 0.007764904866920744, 0.006933237901787522, 0.0014697536028723283, 0.00881659690715722, 0.007610820341208329, 0.002431123096343033, 0.007561824550554729, 0.007281044032551954, 0.005146843365037624, 0.0007535286502706755, 0.0040525930179281, 0.003251118476299545, 0.006193162765139491, 0.0017374722321497735, 0.0008219582110498924, 0.006384497143224222]"
2,"{'learning_rate_init': 0.1465237989177552, 'hidden_layer_sizes': [5, 5, 5]}",0.025933116326232252,"[0.004535625769157514, 0.009973072321184042, -0.0005075255627062491, 0.006019783313892961, -2.046327820952552e-05, 0.0020290359355788234, 0.004546465306150912, -0.001388611674114533, -0.004770330922707602, 0.000740049310004369, 0.008176337215570019, 0.0015035110931663695, 0.001640205846407887, 0.0030188509194267674, 0.029322516514429558, 0.03792301266106442, 0.029854072887709786, 0.032014600719920315, 0.015936172586230243, 0.026548371704971995, 0.03340518118843315, 0.018775578014341075, 0.020677507026910905, 0.02370027626496837, 0.02225269344532538, 0.002470258003667692, 0.018747188033923102, 0.01129390958430069, 0.011221348240463516, 0.004476756654009847, 0.0010086354636969243, 0.021049389878394317, 0.02784501944780675, 0.030899445526896732, 0.15674400965655155, 0.01732089760726058, 0.01353089448573328, 0.014886164735907639, 0.007096054425632984, 0.020125878066269674, 0.02499515965310653, 0.018552203114874138, 0.022808726879747988, 0.004615067124303293, 0.003338514057891829, 0.022747244797522936, 0.02345883605065806, 0.027158004013727356, 0.03237016697012668, 0.023936504350110157, 0.018090183142080263, 0.028799071441541424, 0.019757530618720664, 0.029316880449564837, 0.03077301363031212, 0.020833533460954793, 0.015883635987859402, 0.00229716317809654, 0.0008639150554767388, 0.03572552832358069, 0.006210069047607736, 0.010724299982709235, 0.015161188900105047]","[0.008111291963806834, 0.004223891371176848, 0.012798540448301915, 0.00750498243956187, 0.012243315584579787, 0.010089121436812435, 0.008105058019631446, 0.013833486997267986, 0.020479183815906816, 0.0114055466388058, 0.005494207364716891, 0.010607750657219616, 0.010470245487885995, 0.009196353373305176, 0.009643615889440744, 0.016088682249314645, 0.009835355267349924, 0.011723747682225677, 0.002035472943084832, 0.007513383183668165, 0.012377030264673083, 0.0021325642522157817, 0.0037625278367964497, 0.008903210712003503, 0.0045392264214890975, 0.009676330830359141, 0.004057164438954559, 0.003695110958316703, 0.005643741417798094, 0.008145568767527867, 0.011119455918474184, 0.005865480330777401, 0.010118894942512741, 0.010620313592475148, 0.09981652200609092, 0.004265775898525504, 0.0044995459725213184, 0.0061869506835268515, 0.006292951609984672, 0.004894048580571857, 0.007618885637766801, 0.003923339329383422, 0.006111469996355653, 0.008066168237848727, 0.008935864824452884, 0.008390763559327694, 0.008613022533417185, 0.011120263599732354, 0.014543510085212688, 0.007261660054042526, 0.003925626457590734, 0.011961827490921745, 0.005141917508477069, 0.012673906318001034, 0.013250430367862468, 0.004729569749304226, 0.0008940960825395131, 0.009835618508861062, 0.011272920138218684, 0.016782445488437714, 0.006989864891371218, 0.0037678588831726195, 0.004310279881009771]"
3,"{'learning_rate_init': 0.053206327613466727, 'hidden_layer_sizes': [5, 5, 5, 5, 5]}",0.14417067968978464,"[0.006116346535677451, 0.009632820800553728, 0.004111545534312728, 0.013791436299031325, 0.007911374206362617, 0.006717803374884008, 0.008598258067335718, 0.008672127235255714, 0.008833497361765157, 0.0022987582490215934, 0.006672724135473041, 0.013607223290900125, 0.010264586711712135, 0.011871237963083606, 0.019217311281039637, 0.02165880771067355, 0.022576032313015887, 0.019464329139867172, 0.01622505455546197, 0.020221236070307784, 0.023438572936203616, 0.01591421932611701, 0.015676646602338862, 0.010588789109921224, 0.015551487594430771, 0.010140867785417026, 0.012788348481340278, 0.011411490149855838, 0.015524290641751537, 0.00900457845348921, 0.011883379138123628, 0.013507132759123784, 0.01441077689631625, 0.013780474768895911, 0.11381754680542554, 0.017833299126591737, 0.01550183447155549, 0.018818619266495848, 0.012165324710362607, 0.01490583211129258, 0.017054927596826627, 0.011783391072557709, 0.014430669054837765, 0.0315744773203655, 0.028292350827234986, 0.008418682250390934, 0.008882390052094067, 0.010379535654055742, 0.011965247593130862, 0.012923594484655703, 0.009055824563999572, 0.01139343778988025, 0.01052713203224733, 0.010744440331087455, 0.012025101445473267, 0.021432368532358016, 0.014315090254997763, 0.01766378796864843, 0.015550913038004715, 0.013556454802833122, 0.011569140827159083, 0.0133549844008227, 0.007993077760975215]","[0.007105953146525799, 0.0045044338807143725, 0.008674494017774835, 0.0018719228680756435, 0.006227566805089028, 0.006755245941703819, 0.00530835515330873, 0.005706353005699996, 0.00634677145286084, 0.009232548535993609, 0.006640505526521284, 0.002448217807985732, 0.004683195173027086, 0.003467461489270294, 0.00262928155664347, 0.004570184441289829, 0.0049740873472852755, 0.0028789639487425576, 0.00033035116702352446, 0.003276075756042425, 0.005702542664446386, 0.00027025061441275964, 0.0003698920838469033, 0.0037054996567636943, 0.00040219408354547217, 0.004550080380772281, 0.0021480899396189366, 0.00326881803571418, 0.0004286864218662104, 0.005124755443488117, 0.0034452543881654954, 0.0017018444410193605, 0.0012497408000513375, 0.0014904431111568198, 0.046318926901440675, 0.001419580875832904, 0.0005563218119521004, 0.002120323120915502, 0.002679489534910873, 0.0009061316145704786, 0.0012713830830163107, 0.002859324138494751, 0.001139227388560549, 0.011160930725703481, 0.008883742420088502, 0.005284299767632987, 0.004948103512650748, 0.003858874625460917, 0.002731137299850025, 0.002074871855231128, 0.004813097318906796, 0.003134517542741779, 0.003752241446719795, 0.003597669366613205, 0.0026897178750961786, 0.0040960143583197925, 0.001119943012985538, 0.0019776069612996807, 0.0018444232805566044, 0.0016570044018794183, 0.0030693362211983806, 0.0017579790376790795, 0.005595208710719664]"
4,"{'learning_rate_init': 0.055887322800915865, 'hidden_layer_sizes': [10, 10, 10]}",0.0822171020098223,"[-0.00987948220149934, -0.004400856128714214, -0.0161839278467033, -0.016435396416711223, -0.012429109262542365, -0.012269952795349807, -0.00803404195607447, -0.023829142144366017, -0.02892807173600552, -0.019133893577371105, 0.00330906117877508, -0.019244465240600535, -0.006379583703325735, -0.006527001995404219, 0.03291286457876753, 0.06441921534665379, 0.029305551751685005, 0.04541055229369031, 0.01426225991753329, 0.02603488411469117, 0.030826513404131867, 0.011866347413230047, 0.01453280447059428, 0.020107561301742287, 0.016068597262065696, 0.00805886346244903, 0.00806048977040757, 0.0034841219379029495, -0.004449814948413522, 0.0013452245427100194, 0.0068168483742462775, 0.011358396342204619, 0.018517601326051267, 0.052004775146924, 0.27623058913681237, 0.010268213038845968, 0.00805602827121897, 0.011556511719641066, 0.007736436759346141, 0.007351250686134232, 0.02216837802906334, 0.006012799628013428, 0.016581936573426617, 0.013413407649954384, 0.012073526804756684, 0.009961950858790933, 0.010879517377314235, 0.023566307077568585, 0.030111030852656578, 0.018680139048267916, 0.0029919569564956345, 0.01971816812311816, 0.010203699205452667, 0.02389893853750542, 0.021016376896317596, 0.011156235828511251, 0.023083344512725094, -0.009912133018855369, -0.011581245869511576, 0.03434468821153604, -0.004294408235748305, 0.0005918888665895269, 0.008371046584106664]","[0.006106667530246364, 0.004268756949049588, 0.0029089264017495456, 0.010479930964639643, 0.001604149804728324, 0.004249690925669364, 0.00037929072050620245, 0.009769470878603411, 0.03531912711298655, 0.0026870692612090824, 0.016994647026701504, 0.008430887992938903, 0.007519479923776649, 0.012355008049236236, 0.0025704121491391383, 0.026074677076056638, 0.004008418009826497, 0.013273332941418043, 0.004999922197815028, 0.0034293731406731904, 0.00925609233738522, 0.002848774575484905, 0.0008581109458554211, 0.0009577528461166098, 0.00241809277431807, 0.014455653647513425, 0.00765239779058795, 0.006819393353273881, 0.007377109973759614, 0.012094751952667923, 0.007954173313412938, 0.004279220245901174, 0.018863099095179275, 0.035717224484058, 0.04822438903135078, 0.003709257821950278, 0.007811289901280482, 0.008054859604416473, 0.005015115747133062, 0.008936283826055231, 0.0021922668177045937, 0.003894955303138268, 0.00629477381131868, 0.015124623551162142, 0.012256811304431129, 0.0226744117916042, 0.027863684262016554, 0.006228287391100266, 0.012380771376815081, 0.012936550715572093, 0.02318647735901549, 0.020128217803879567, 0.007521409127838258, 0.011927640698761191, 0.024900752265072507, 0.007020348794803149, 0.012903814174094622, 0.009657402641078608, 0.008526600990341077, 0.01663805618855753, 0.006347037110318989, 0.0038040018565345716, 0.005351740195781559]"
7,"{'learning_rate_init': 0.08250848705951937, 'hidden_layer_sizes': [10, 10, 10]}",0.08493830423487149,"[0.010492644618036845, 0.01397981789907475, 0.007062130374991839, 0.015772440561932336, 0.0053726178061986735, 0.009600751042877298, 0.010874269335537945, 0.04072410069909655, 0.0035599375457743138, 0.017696415530146174, 0.012950600434535687, 0.01237725619732583, 0.008080472569693636, 0.00742164108414695, 0.01854607055956167, 0.024383978905379602, 0.017118575913866587, 0.020624224389786214, 0.012704934935893813, 0.015512813425631216, 0.020479916504473863, 0.010253829006302733, 0.011931235964901333, 0.0172490333822426, 0.012990449430984546, 0.008315207635440122, 0.015046590323285652, 0.008933869074153042, 0.011061665131015313, 0.006896657986840753, 0.008206053170983352, 0.01152565338889191, 0.017578537054990708, 0.05677966949692703, 0.28057979196107125, 0.010905366459450899, 0.010712774474255027, 0.01226292426287381, 0.007370349875133579, 0.012108134667845424, 0.012653695565661746, 0.013975048179657099, 0.0170635576340214, 0.014897776911815952, 0.01394689846557975, 0.016669403054755658, 0.019146537434677983, 0.017080814264857233, 0.021433624194086034, 0.015594629465394477, 0.012446384645897854, 0.019238758212602017, 0.011684378896131687, 0.01896410623708297, 0.021156213175009046, 0.012588620075118503, 0.011992800479350682, 0.005817441349007917, 0.004705567224281083, 0.02455106590565624, 0.008880185622762738, 0.007352209489610966, 0.011909657749949587]","[0.005357206705124633, 0.0016852040177798423, 0.01007976690258581, 0.002911316789952339, 0.012442118784367153, 0.006566961370768638, 0.004847612795020792, 0.04959141662206503, 0.006540551714429909, 0.019551350146218543, 0.0023265242044625, 0.0029467914824390777, 0.008663026293069816, 0.009578810085811384, 0.009866458126024871, 0.01706629246133282, 0.010540626089196951, 0.012312904949001792, 0.0025793818107351257, 0.007818628676012768, 0.012563255903325977, 0.005678934035697894, 0.0034838757531595967, 0.00792593768755515, 0.005568415975056804, 0.008337595399453255, 0.002155254074747198, 0.00748264946788388, 0.004599892793828339, 0.010310588545473391, 0.008488861504242284, 0.003996105260180729, 0.007852498709087144, 0.028787929310483903, 0.2308578147818958, 0.00480637755984329, 0.005062499792137051, 0.0030810838542911882, 0.00965023356634534, 0.0032668547281709, 0.004652003609436417, 0.0016858419572726444, 0.004527456849246083, 0.002029799674861781, 0.0016901503813464133, 0.006378829280198837, 0.008061350987940056, 0.007023609040637141, 0.012283515514090074, 0.005568173565364981, 0.00324827420556075, 0.009554456684019805, 0.0034085586746070325, 0.009222790857393519, 0.011909752196215989, 0.0027064281735593313, 0.0034078322336518717, 0.01181909474690357, 0.013377457678025286, 0.016328470066071705, 0.007556655002467238, 0.009675498185147822, 0.0035106500242861275]"
11,"{'learning_rate_init': 0.12042540216039509, 'hidden_layer_sizes': [5, 5, 5, 5, 5]}",0.1109378051229384,"[0.0107620089616237, 0.018652801125491805, 0.008649332560008915, 0.02268688783951385, 0.006382982359277668, 0.006030342203530469, 0.013351187280812022, 0.014879652040607589, 0.0025654024915487176, -0.0009744201566875601, 0.018783122091316554, 0.00864341292925177, 0.007630429219475474, 0.004817964313758282, 0.015209360095068175, 0.017070457142377506, 0.017213164908639004, 0.015483436327563452, 0.013009701216667238, 0.015745607615855108, 0.01795615115695219, 0.012898192168576059, 0.012851318152373054, 0.010180597571079211, 0.012761276947922623, 0.01237592088272777, 0.011036728907778825, 0.00966118617668972, 0.015535334207764184, 0.014411983358195615, 0.011821746664244381, 0.011760294419675016, 0.012593643680606342, 0.026413678261664922, 0.20887939725037488, 0.013615164429590298, 0.012111158466050242, 0.01409166135676014, 0.010367984679355036, 0.01253476854418501, 0.01404275400563853, 0.010442228938434139, 0.012174235104924208, 0.026112166046851557, 0.0215102160481674, 0.009333340302786536, 0.009816120404816447, 0.010391206058217098, 0.011718609944826075, 0.01155105862866817, 0.009095868608478158, 0.011132642331890175, 0.009824664586835207, 0.010820562685115992, 0.011708623715194919, 0.01616682292774615, 0.011857330934363192, 0.010712635784915783, 0.003952549751593995, 0.012880262046115018, 0.011741500417762715, 0.011206486377931502, 0.007994364233874474]","[0.014055039846088425, 0.004318761990631807, 0.008161168713626802, 0.022764345182260982, 0.006985223210583766, 0.008388282660119855, 0.0030358001698349746, 0.0008238407712652843, 0.017598184937329835, 0.017974609586341696, 0.0036332766380900677, 0.02577353471399626, 0.005890151072586846, 0.009762753808280225, 0.004039162564543607, 0.005468463718901471, 0.006272965686014599, 0.0040889689160527095, 0.003322278698256994, 0.004701466693640768, 0.006914539655680867, 0.0032042057232008784, 0.003039500725292318, 0.0042436630739301736, 0.002918888551558754, 0.006429984447201564, 0.003499347618089079, 0.004488844586255508, 0.0069095440434008455, 0.009880978273807847, 0.0038027383120358364, 0.0030844305292469596, 0.0024939365059627014, 0.015517317594172714, 0.3510043335189652, 0.0039013729936372534, 0.003395369603187961, 0.004406787519046354, 0.003965212926647751, 0.0031638889955072184, 0.0031925817525293872, 0.0038995642008270337, 0.0030900405717239738, 0.010245492129899999, 0.009253229051588084, 0.005331051187484336, 0.00489584445175349, 0.004160464532604273, 0.0030291260134362942, 0.0031220490550233028, 0.005429105904462213, 0.0035406624614395406, 0.004572646007119354, 0.0038015375557262274, 0.0030560853563794325, 0.006234383305883386, 0.0030223408792558583, 0.008051844991868565, 0.015083407175068224, 0.002223659057458337, 0.0035303287592873952, 0.0035678248710295565, 0.006300061361276135]"
12,"{'learning_rate_init': 0.10740881385847476, 'hidden_layer_sizes': [5, 5, 5, 5, 5]}",0.16180965808687364,"[0.01423122386770029, 0.012227466569408589, 0.015863121052499107, 0.010617549051840307, 0.014166716839170639, 0.014265316426693294, 0.01304905314748603, 0.013809585267596026, 0.015077859646693052, 0.016248066395988796, 0.013746594488412527, 0.01131073075631888, 0.012967387792362943, 0.012029450121572909, 0.012483885415426011, 0.015693480901536137, 0.016649973695851947, 0.012799196570093626, 0.009190608419898856, 0.013230252971672548, 0.017732816188277205, 0.009006341654870069, 0.0090130780567937, 0.011153592951726403, 0.008967052779623556, 0.012929186910986002, 0.010409712038114595, 0.011355819341005761, 0.009360655936316088, 0.013030114500498692, 0.012571598478959197, 0.01020396766572963, 0.009387561237146543, 0.0077043899657763745, 0.06774065520046545, 0.010844534238237181, 0.009253875477806199, 0.011837711846435998, 0.01151387869490305, 0.00956746693407626, 0.009929257113757835, 0.011043373559696491, 0.00950040789755157, 0.04549911396860263, 0.03796734909279778, 0.01199627595523618, 0.011639514035553218, 0.010989318208360884, 0.009925993815778349, 0.01024831323390734, 0.012367067537023558, 0.010488576446666668, 0.011588502089846235, 0.010681248224385832, 0.010055894060339495, 0.016050462495745814, 0.009904483940887955, 0.013793729400800307, 0.01050392331474327, 0.008995057413739268, 0.01189034277081938, 0.01081422732724355, 0.012888938559548214]","[0.009885549484871595, 0.0037497440812047497, 0.01310078714790792, 0.004759570736025636, 0.0076203153782198815, 0.008516466110404247, 0.0053178102908687675, 0.0044866327259239685, 0.00838235132497081, 0.015870364500111266, 0.008986459255136203, 0.005027117418576852, 0.004303291523507044, 0.001176166414017663, 0.004286232015599867, 0.004272898434408919, 0.004650674861451071, 0.004121357999482433, 0.0055912172072093615, 0.004238653944754442, 0.005107385610922241, 0.006006170813185303, 0.005557925576797777, 0.0022066852734682154, 0.004934557197235754, 0.004796673860568009, 0.0015553405502471659, 0.002059994556152281, 0.006831681655154285, 0.006278881865854346, 0.0016613331766296244, 0.0022666004094207847, 0.0024536456176621263, 0.005184582330952847, 0.19297561607650324, 0.005240965725490626, 0.004780694520713594, 0.0049494643679462574, 0.0009199593351837202, 0.005374028602233417, 0.005680668372883227, 0.000740784891063001, 0.0045483554251476675, 0.011280965056591182, 0.009683956256639125, 0.005885887444672178, 0.005034399810322701, 0.0025519417895973596, 0.00018850161565315453, 0.0003404578231216855, 0.006657158916610175, 0.0015602630456490248, 0.0037928791320139934, 0.0018555891301125945, 0.00045349004334325376, 0.005087150702946652, 0.0016222104603319095, 0.006850260628695909, 0.00790101203153656, 0.0027416305712707357, 0.0011870417777463081, 0.0025730377999409414, 0.007253943174862802]"
13,"{'learning_rate_init': 0.07095986476819252, 'hidden_layer_sizes': [5, 5, 5, 5, 5]}",0.10400957321251009,"[0.001775953744542813, 0.006988970683521778, 0.0019164271568323603, 0.002211950942200206, 0.0009379286333360085, 0.0028659036005259098, 0.00576314327407762, 0.000680771310520023, -0.004668923045985725, -0.0013350753422742834, -0.00030780960367358484, 0.0004981206383414816, 0.003194893735691373, 0.006344165452053167, 0.018662354852157725, 0.02172997252382186, 0.021483841313622947, 0.01927092782101771, 0.016727870295339415, 0.020629559842940553, 0.02311599256692302, 0.01553497427732653, 0.015785881178420263, 0.013330083615586963, 0.015324865316648098, 0.004865350066441343, 0.01149808730274036, 0.010745757971922065, 0.008006458449356638, 0.004251436032395935, 0.008958411641571499, 0.015175731855417688, 0.01949100938998956, 0.016652916607835966, 0.08059205267548154, 0.013734704742114598, 0.013153691412591317, 0.014589748821485985, 0.013081216564817236, 0.014813026012858, 0.0192157045483111, 0.012174371480131582, 0.013221161448074373, 0.01675434062885391, 0.014587227237383113, 0.011629938072806064, 0.01233109440592306, 0.013599830463211393, 0.01605168462995619, 0.017860225446420148, 0.009317294665571518, 0.015668666833024054, 0.014033892848123897, 0.014375803504777943, 0.016592306973466402, 0.017547274716703826, 0.018396915511734096, 0.005383349610089831, 0.003507926085551727, 0.01646547227242477, 0.008402579006940044, 0.01140593618712804, 0.009495359242068438]","[0.013811672808755768, 0.010494822018867936, 0.01681548008443189, 0.015499427122283993, 0.01254551889896808, 0.01446259256384023, 0.011682674976150359, 0.01983670598037753, 0.011682092870059536, 0.015530798320523863, 0.01209525322469473, 0.01825988520054188, 0.010033493967643463, 0.011356140685810876, 0.00733941119901336, 0.010055620396009057, 0.009749535731253279, 0.007987588973955616, 0.006833257273294016, 0.010218956979976355, 0.011451237213653348, 0.004719461847214015, 0.005174428068801395, 0.002282077747441767, 0.005133179332308982, 0.007943930290841537, 0.0031875544542345484, 0.0046906799129481785, 0.007743521636469947, 0.008372616180313968, 0.007508542714561415, 0.00491529587184574, 0.006200611738595517, 0.005885161333711244, 0.09208508394497192, 0.0027095588729262065, 0.0020280526816969296, 0.003262799096378588, 0.002623387253426931, 0.0030177187650432505, 0.008720429376813013, 0.0028843251456089594, 0.00246014155821935, 0.0018640573866700177, 0.002794399017979822, 0.00317085864908746, 0.002588269267146662, 0.0016885038003536944, 0.00169144528966171, 0.0054511025469563355, 0.007399380242317847, 0.0025178492647450756, 0.0021955471863523866, 0.0012001840605011093, 0.003184778569460715, 0.0037949491263877155, 0.006166955588284593, 0.012860698287418775, 0.014646163039337525, 0.005399749051615768, 0.006301497384949597, 0.003223731625061796, 0.005437746228771497]"
15,"{'learning_rate_init': 0.06743840547582669, 'hidden_layer_sizes': [5, 5, 5, 5, 5]}",0.1319967819499757,"[0.009014089746867463, 0.011573264974987873, 0.007648353372983662, 0.012974155032681784, 0.009366699233924343, 0.009365362776536724, 0.01074657991192956, 0.009852198360062193, 0.020550383958856718, 0.006971703901000718, 0.009640222228838835, 0.012501905620040124, 0.010590891977092431, 0.01166777423665645, 0.018015845649573495, 0.019875825365721148, 0.019922320151403137, 0.01830198850976183, 0.01567059599498721, 0.018387392540317623, 0.020631991224207516, 0.015743196561082154, 0.015717598836248178, 0.013302364898015742, 0.015560418094312073, 0.010975526532309038, 0.01414650703989761, 0.012541238613820482, 0.014679589288241493, 0.010761900748787573, 0.01167333237052468, 0.014743843055375863, 0.01545988405517088, 0.01773536878745903, 0.09661017416928909, 0.016283972024788054, 0.014816643079143465, 0.01668147429281082, 0.013159092044672966, 0.015546287952367968, 0.01695754390690832, 0.013432656081655664, 0.015147912233824478, 0.021999144932758855, 0.020101408375003252, 0.01242736242884005, 0.012893059805341162, 0.0134489737623335, 0.014723638997331845, 0.014440289762132552, 0.012030955320020515, 0.014127988231147318, 0.01277783957960578, 0.013865324848305305, 0.014681281937127899, 0.018812510885452213, 0.014598504512173848, 0.014995895164464234, 0.013706261603634431, 0.015867893065698094, 0.01268492414145903, 0.013905547106754618, 0.011104729982552144]","[0.00895921905039982, 0.005340499533687564, 0.010890530901926068, 0.0033600728673623854, 0.008460597484711264, 0.008462487346109692, 0.00650938610347937, 0.007774067145653403, 0.024455080200615282, 0.011847408662337276, 0.0080738150454398, 0.004027607605974083, 0.006729528815693253, 0.005206875077320764, 0.003773679856404142, 0.006403367639860763, 0.006469110687301625, 0.004178177028069131, 0.00046955807383880293, 0.004298912042727024, 0.007472599692036652, 0.0005696561961722583, 0.0005342517848519949, 0.0028962298873136715, 0.0003207743788354549, 0.0061856599258496466, 0.001704035340165772, 0.003972005376014879, 0.0009532242282256068, 0.006487722564943568, 0.005199016611500386, 0.0008630898559793196, 0.0001948527191987565, 0.0033772317668983474, 0.07241550420519131, 0.0013276815914446782, 0.0007611778899121645, 0.001888348110767191, 0.0030986987828133753, 0.0003022062747243147, 0.002278168226063539, 0.0027121256863554257, 0.00030637394029407847, 0.009405864893417519, 0.00672234112415259, 0.004132985664472478, 0.0034746937901668534, 0.002689069957657372, 0.0008914157853865834, 0.0012898172712229772, 0.004693398617605274, 0.0017301660181267078, 0.0036375544282343532, 0.002100950987236018, 0.0009508480094324477, 0.0048999311953286835, 0.0010671466694756413, 0.0005120264087654413, 0.0023255953886284703, 0.0007432227707924547, 0.0037688932341429946, 0.0020441558742899197, 0.006002971233235938]"
