Trial Number,Parameters,RMSD,Predictions,Std
0,"{'n_estimators': 20, 'learning_rate': 0.12768516806765487, 'max_depth': 2}",0.14767512070130773,"[0.015573988535660227, 0.010356662618663472, 0.016153806329736238, 0.011584160754592879, 0.016153806329736238, 0.013253844874377122, 0.015573988535660227, 0.011584160754592879, 0.014484122209952002, 0.015573988535660227, 0.010356662618663472, 0.011584160754592879, 0.013904304415875984, 0.011584160754592879, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.010356662618663472, 0.00868697849887923, 0.01158693995423835, 0.00868697849887923, 0.00868697849887923, 0.011584160754592879, 0.013256624074022593, 0.014484122209952002, 0.01158693995423835, 0.01158693995423835, 0.00868697849887923, 0.718368229580174, 0.00868697849887923, 0.00868697849887923, 0.00868697849887923, 0.01158693995423835, 0.00868697849887923, 0.01158693995423835, 0.00868697849887923, 0.00868697849887923, 0.011584160754592879, 0.011584160754592879, 0.013256624074022593, 0.013256624074022593, 0.010356662618663472, 0.010356662618663472, 0.012499955356537256, 0.013256624074022593, 0.013256624074022593, 0.013256624074022593, 0.010356662618663472, 0.013256624074022593, 0.00868697849887923, 0.01158693995423835, 0.011584160754592879, 0.011584160754592879, 0.00868697849887923, 0.013904304415875984, 0.00868697849887923, 0.010356662618663472]","[3.3217425607229918e-18, 0.0, 2.0030861316495456e-18, 1.734723475976807e-18, 2.0030861316495456e-18, 1.734723475976807e-18, 3.3217425607229918e-18, 1.734723475976807e-18, 1.734723475976807e-18, 3.3217425607229918e-18, 0.0, 1.734723475976807e-18, 2.4532694666933987e-18, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0015430658247728e-18, 0.0, 0.0, 1.734723475976807e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 0.0037688190322508644, 0.0, 0.0, 0.0, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 0.0, 0.0, 1.734723475976807e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 2.4532694666933987e-18, 0.0, 0.0]"
1,"{'n_estimators': 5, 'learning_rate': 0.10909998746230731, 'max_depth': 2}",0.13309837201264363,"[0.015122435489299818, 0.012991573373888912, 0.01690646778697334, 0.014330784656707429, 0.01690646778697334, 0.015122435489299818, 0.015122435489299818, 0.014330784656707429, 0.01611481695438095, 0.015122435489299818, 0.012991573373888912, 0.014330784656707429, 0.014330784656707429, 0.014330784656707429, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.012991573373888912, 0.012199922541296523, 0.013983954838970044, 0.012199922541296523, 0.012199922541296523, 0.014330784656707429, 0.014775605671562433, 0.01611481695438095, 0.013983954838970044, 0.013983954838970044, 0.012199922541296523, 0.3701947364595603, 0.012199922541296523, 0.012199922541296523, 0.012199922541296523, 0.013983954838970044, 0.012199922541296523, 0.013983954838970044, 0.012199922541296523, 0.012199922541296523, 0.014330784656707429, 0.014330784656707429, 0.014775605671562433, 0.014775605671562433, 0.012991573373888912, 0.012991573373888912, 0.014775605671562433, 0.014775605671562433, 0.014775605671562433, 0.014775605671562433, 0.012991573373888912, 0.014775605671562433, 0.012199922541296523, 0.013983954838970044, 0.014330784656707429, 0.014330784656707429, 0.012199922541296523, 0.014330784656707429, 0.012199922541296523, 0.012991573373888912]","[1.734723475976807e-18, 0.0, 0.0, 1.734723475976807e-18, 0.0, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 1.734723475976807e-18, 0.0, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 1.734723475976807e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 5.551115123125783e-17, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 0.0, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 1.734723475976807e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 0.0]"
2,"{'n_estimators': 50, 'learning_rate': 0.09557214764511107, 'max_depth': 2}",0.1478566290874845,"[0.02111590010005095, 0.008070293155160144, 0.021902684631397436, 0.019039276332993908, 0.013650800107216582, 0.01860267153785628, 0.022876195751207685, 0.009027096157656322, 0.012871608102928853, 0.02111590010005095, 0.0063099975040034105, 0.009027096157656322, 0.011540324719850996, 0.009027096157656322, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.009327974070213657, 0.008004283214194552, 0.01184879515946708, 0.008004283214194552, 0.006746602299141038, 0.019039276332993908, 0.012627987163754816, 0.012327109251197477, 0.011304296307735709, 0.011304296307735709, 0.008004283214194552, 0.7200877267204538, 0.008004283214194552, 0.008004283214194552, 0.008004283214194552, 0.01184879515946708, 0.008004283214194552, 0.011304296307735709, 0.008004283214194552, 0.008004283214194552, 0.00948596361315549, 0.00948596361315549, 0.011740836206058784, 0.011740836206058784, 0.009327974070213657, 0.009327974070213657, 0.012554143350340633, 0.012285335057790156, 0.012627987163754816, 0.012627987163754816, 0.009327974070213657, 0.012627987163754816, 0.008004283214194552, 0.01184879515946708, 0.009027096157656322, 0.009027096157656322, 0.008004283214194552, 0.011540324719850996, 0.008004283214194552, 0.007183142197464114]","[3.469446951953614e-18, 1.0015430658247728e-18, 3.469446951953614e-18, 0.0, 1.734723475976807e-18, 0.0, 0.0, 1.4163957869901233e-18, 3.0046291974743185e-18, 3.469446951953614e-18, 8.673617379884035e-19, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 5.007715329123864e-19, 0.0, 2.2395183775777386e-18, 3.0046291974743185e-18, 1.734723475976807e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 0.016353944742517917, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 2.8327915739802466e-18, 1.4163957869901233e-18, 2.2395183775777386e-18, 2.2395183775777386e-18, 1.0015430658247728e-18, 2.2395183775777386e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 1.1197591887888693e-18]"
3,"{'n_estimators': 50, 'learning_rate': 0.14741879333816288, 'max_depth': 3}",0.16112446661613897,"[0.00902790599036097, 0.0035228310739433073, 0.0033107016275313473, 0.01675918274772653, 0.008921284420281738, 0.0017623964806612665, 0.0041793020842619336, 0.009005021163392043, 0.005046102155552422, 0.0024949603250877025, 0.00397686989974537, 0.005053787284419854, 0.004863001432254693, 0.005053787284419854, 0.007247853796209029, 0.007770395925448843, 0.007146614635628763, 0.0051561711694534966, 0.006986747238454092, 0.005946925668763969, 0.00514399253724139, 0.00552162678111504, 0.00552162678111504, 0.0063838606167664486, 0.006741571445056681, 0.02544237895222476, 0.006017357539328294, 0.007252615355675728, 0.022371018144750256, 0.010007114596332385, 0.006391198750147542, 0.009091600632321182, 0.011565900005897939, 0.007838052017755332, 0.9155920469703013, 0.00954246722428119, 0.00954246722428119, 0.005949701447021804, 0.007357764210274976, 0.005185318276210192, 0.006974669438745113, 0.005814612100492611, 0.005443419095869456, 0.01218634235718828, 0.011451517064795793, 0.00741902811979384, 0.00741902811979384, 0.0057394362535576025, 0.008204555095193486, 0.023400258653669095, 0.013868876379856962, 0.011939270979792966, 0.007772834810782937, 0.008204555095193486, 0.011939270979792966, 0.007037297755544607, 0.007455309252698997, 0.005547891003360096, 0.005041608652207748, 0.007838052017755332, 0.008139606431006774, 0.007782312075463642, 0.021047023956515407]","[0.002393798995071888, 4.336808689942018e-19, 9.02778719604156e-19, 0.0036516396354422183, 1.0015430658247728e-18, 8.113426134873485e-19, 7.081978934950616e-19, 0.0038513277381300812, 1.1197591887888693e-18, 1.0935094125879999e-05, 5.007715329123864e-19, 5.007715329123864e-19, 7.081978934950616e-19, 5.007715329123864e-19, 1.1197591887888693e-18, 1.0015430658247728e-18, 1.1197591887888693e-18, 1.2266347333466993e-18, 1.1197591887888693e-18, 1.4163957869901233e-18, 1.1197591887888693e-18, 7.081978934950616e-19, 7.081978934950616e-19, 1.0015430658247728e-18, 1.1197591887888693e-18, 2.8327915739802466e-18, 5.007715329123864e-19, 8.673617379884035e-19, 2.0030861316495456e-18, 0.0, 1.1197591887888693e-18, 1.734723475976807e-18, 2.2395183775777386e-18, 1.0015430658247728e-18, 0.038873025587673755, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.1197591887888693e-18, 2.2948234554500807e-18, 1.2266347333466993e-18, 1.0015430658247728e-18, 5.007715329123864e-19, 5.007715329123864e-19, 1.0015430658247728e-18, 2.2395183775777386e-18, 1.1197591887888693e-18, 1.1197591887888693e-18, 8.673617379884035e-19, 2.2395183775777386e-18, 0.0, 1.0015430658247728e-18, 3.0046291974743185e-18, 7.081978934950616e-19, 2.2395183775777386e-18, 3.0046291974743185e-18, 1.1197591887888693e-18, 1.8737155052077408e-18, 1.1197591887888693e-18, 5.007715329123864e-19, 1.0015430658247728e-18, 1.4163957869901233e-18, 7.081978934950616e-19, 2.8327915739802466e-18]"
4,"{'n_estimators': 20, 'learning_rate': 0.10179934564409882, 'max_depth': 3}",0.15434930563356275,"[0.007444911596141458, 0.006895140252400059, 0.009123273402949888, 0.012641646657371131, 0.01023381172314832, 0.006356961968185158, 0.007485349936977289, 0.0071100730781936084, 0.010148477339770517, 0.007444911596141458, 0.006423119448426801, 0.008715136132713276, 0.007691361064909017, 0.008715136132713276, 0.00863216489679356, 0.00863216489679356, 0.00863216489679356, 0.00863216489679356, 0.008274631971714028, 0.00863216489679356, 0.00863216489679356, 0.008274631971714028, 0.008274631971714028, 0.009138720823144902, 0.008274631971714028, 0.009707973178771269, 0.008274631971714028, 0.012201142496371881, 0.012641646657371131, 0.009793307562149071, 0.010397380915651191, 0.009956876754651942, 0.009956876754651942, 0.008274631971714028, 0.8199432117706041, 0.011442987695044558, 0.011442987695044558, 0.00863216489679356, 0.009707973178771269, 0.008274631971714028, 0.009956876754651942, 0.008274631971714028, 0.008274631971714028, 0.011159891377229643, 0.009843651058543318, 0.009752869221313241, 0.009752869221313241, 0.00859162084106818, 0.009138720823144902, 0.02306899146662397, 0.01157533385170549, 0.011398370616668742, 0.00924620758007235, 0.009138720823144902, 0.011398370616668742, 0.00863216489679356, 0.009707973178771269, 0.009072669057792807, 0.008715136132713276, 0.008274631971714028, 0.009296424119428685, 0.008274631971714028, 0.006423119448426801]","[5.007715329123864e-19, 7.081978934950616e-19, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 5.007715329123864e-19, 1.2266347333466993e-18, 1.1197591887888693e-18, 0.0, 5.007715329123864e-19, 5.007715329123864e-19, 0.0, 1.0015430658247728e-18, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 0.0, 0.0, 1.4163957869901233e-18, 0.0, 0.0, 0.0, 2.4532694666933987e-18, 1.0015430658247728e-18, 1.734723475976807e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 0.05861288336949992, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 0.0, 0.0, 1.0015430658247728e-18, 0.0, 0.0, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 1.4163957869901233e-18, 0.0, 0.0, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 0.0, 1.0015430658247728e-18, 0.0, 0.0, 0.0, 0.0, 5.007715329123864e-19]"
5,"{'n_estimators': 10, 'learning_rate': 0.11238302322505739, 'max_depth': 2}",0.14013430931163645,"[0.015609981112391577, 0.011608039220008803, 0.017207178204821195, 0.013105739056970293, 0.017207178204821195, 0.014620721641241072, 0.015609981112391577, 0.013105739056970293, 0.01569219562055042, 0.015609981112391577, 0.011608039220008803, 0.013105739056970293, 0.014094998528120796, 0.013105739056970293, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.011608039220008803, 0.010093056635738023, 0.012679513199318149, 0.010093056635738023, 0.010093056635738023, 0.013105739056970293, 0.014194495783588931, 0.01569219562055042, 0.012679513199318149, 0.012679513199318149, 0.010093056635738023, 0.5743144373576292, 0.010093056635738023, 0.010093056635738023, 0.010093056635738023, 0.012679513199318149, 0.010093056635738023, 0.012679513199318149, 0.010093056635738023, 0.010093056635738023, 0.013105739056970293, 0.013105739056970293, 0.014194495783588931, 0.014194495783588931, 0.011608039220008803, 0.011608039220008803, 0.013492878947532283, 0.014194495783588931, 0.014194495783588931, 0.014194495783588931, 0.011608039220008803, 0.014194495783588931, 0.010093056635738023, 0.012679513199318149, 0.013105739056970293, 0.013105739056970293, 0.010093056635738023, 0.014094998528120796, 0.010093056635738023, 0.011608039220008803]","[0.0, 1.0015430658247728e-18, 2.0030861316495456e-18, 1.4163957869901233e-18, 2.0030861316495456e-18, 0.0, 0.0, 1.4163957869901233e-18, 2.8327915739802466e-18, 0.0, 1.0015430658247728e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 2.0030861316495456e-18, 2.8327915739802466e-18, 0.0, 0.0, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 2.0030861316495456e-18, 2.0030861316495456e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 2.0030861316495456e-18, 2.0030861316495456e-18, 2.0030861316495456e-18, 1.0015430658247728e-18, 2.0030861316495456e-18, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 1.0015430658247728e-18]"
6,"{'n_estimators': 5, 'learning_rate': 0.1628703961728809, 'max_depth': 3}",0.13857817907053294,"[0.011909358555753013, 0.01088167223387524, 0.014047253206627143, 0.014211613860726773, 0.014047253206627143, 0.011909358555753013, 0.011909358555753013, 0.011298478224399354, 0.013436372875273488, 0.011909358555753013, 0.01088167223387524, 0.011298478224399354, 0.011298478224399354, 0.011298478224399354, 0.010270791902521583, 0.010270791902521583, 0.010270791902521583, 0.010270791902521583, 0.010270791902521583, 0.010270791902521583, 0.010270791902521583, 0.010270791902521583, 0.010270791902521583, 0.01088167223387524, 0.010270791902521583, 0.012408686553395719, 0.010270791902521583, 0.012166995213764681, 0.014211613860726773, 0.013019566884749374, 0.013436372875273488, 0.012408686553395719, 0.012408686553395719, 0.010270791902521583, 0.5368516325548726, 0.012166995213764681, 0.012166995213764681, 0.010270791902521583, 0.012408686553395719, 0.010270791902521583, 0.012408686553395719, 0.010270791902521583, 0.010270791902521583, 0.013548181145765411, 0.012507216611628914, 0.013019566884749374, 0.013019566884749374, 0.01088167223387524, 0.01088167223387524, 0.03310658448299566, 0.013019566884749374, 0.013019566884749374, 0.013019566884749374, 0.01088167223387524, 0.013019566884749374, 0.010270791902521583, 0.012408686553395719, 0.011298478224399354, 0.011298478224399354, 0.010270791902521583, 0.011298478224399354, 0.010270791902521583, 0.01088167223387524]","[2.4532694666933987e-18, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 2.4532694666933987e-18, 2.4532694666933987e-18, 1.0015430658247728e-18, 0.0, 2.4532694666933987e-18, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0015430658247728e-18, 0.0, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 0.007236155084084669, 0.0, 0.0, 0.0, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 0.0, 0.0, 1.734723475976807e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 0.0, 0.0, 0.0, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 0.0, 1.4163957869901233e-18, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 0.0, 0.0]"
7,"{'n_estimators': 50, 'learning_rate': 0.1689194428864409, 'max_depth': 3}",0.16182498628049613,"[0.006183285533729964, 0.00466091741287256, 0.002252288653261856, 0.026692744015487786, 0.005982649039576313, 0.00013864866939860933, 0.002788247449948333, 0.004571300678165864, 0.002764523322072044, 0.0009839163148359644, 0.0025953848421972924, 0.004181641398825659, 0.0032426657503317655, 0.0035431937237356075, 0.0070515837817402, 0.0071424383284509904, 0.006543884742132604, 0.0048869809170579565, 0.006883620609356867, 0.0047045641415150285, 0.004768823869146987, 0.004844816846282082, 0.00571886881313342, 0.006505322096850046, 0.005957129857799834, 0.031701149673170836, 0.007395228967455574, 0.007162812140480563, 0.02340983005444573, 0.007451004292785543, 0.0054163315557509235, 0.010460941930368393, 0.011754626856879107, 0.006803893278354113, 0.9246376936924392, 0.008552760971113767, 0.008055648653631738, 0.006565112902837892, 0.007456578749504669, 0.006397149730454559, 0.005898084475399626, 0.005470658978897526, 0.005470658978897526, 0.0075666282251338965, 0.009674725160124582, 0.0071852110986433335, 0.0071852110986433335, 0.006282854252839178, 0.00808977551268806, 0.021614561795533633, 0.01272311386952646, 0.010753004690523427, 0.0067571380243010085, 0.007082647522463144, 0.011015144809852483, 0.006762737702978821, 0.006048048807205283, 0.005330083773094074, 0.00473274216663574, 0.007972554393068673, 0.013211906758263232, 0.009012005848789955, 0.0288127973715106]","[0.0029648600507967532, 1.2266347333466993e-18, 3.540989467475308e-19, 0.001324217123428654, 1.1197591887888693e-18, 5.213761297064279e-19, 9.02778719604156e-19, 0.003593225240337013, 9.368577526038704e-19, 0.0004182001593680023, 1.1197591887888693e-18, 7.081978934950616e-19, 1.1197591887888693e-18, 7.91789315688557e-19, 7.081978934950616e-19, 0.0, 7.081978934950616e-19, 0.0, 5.007715329123864e-19, 0.0, 0.0, 5.007715329123864e-19, 5.007715329123864e-19, 7.081978934950616e-19, 7.081978934950616e-19, 0.0, 7.081978934950616e-19, 1.0015430658247728e-18, 0.0020530005944492924, 1.0015430658247728e-18, 1.6608712803614959e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.2266347333466993e-18, 0.023086200493450844, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 8.673617379884035e-19, 5.007715329123864e-19, 7.081978934950616e-19, 1.0015430658247728e-18, 1.0015430658247728e-18, 8.673617379884035e-19, 1.4163957869901233e-18, 1.1197591887888693e-18, 1.1197591887888693e-18, 1.1197591887888693e-18, 1.0015430658247728e-18, 2.0030861316495456e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 5.007715329123864e-19, 5.007715329123864e-19, 1.4163957869901233e-18, 1.2266347333466993e-18, 5.007715329123864e-19, 7.081978934950616e-19, 5.007715329123864e-19, 1.0015430658247728e-18, 2.8327915739802466e-18, 1.0015430658247728e-18, 4.006172263299091e-18]"
8,"{'n_estimators': 20, 'learning_rate': 0.10587053182932532, 'max_depth': 3}",0.15543895934273502,"[0.007939881676637854, 0.00789375143801899, 0.009671051238287792, 0.013154192080006349, 0.00964532807055272, 0.006841773788922587, 0.007443924018446402, 0.006872829917081761, 0.00994958724368611, 0.007939881676637854, 0.006886969848116345, 0.008530716463573434, 0.007474980146605575, 0.008530716463573434, 0.008450897861062165, 0.008450897861062165, 0.008450897861062165, 0.008450897861062165, 0.008079954864575738, 0.008450897861062165, 0.008450897861062165, 0.008079954864575738, 0.008079954864575738, 0.008519133226872944, 0.008079954864575738, 0.009498825644688414, 0.008079954864575738, 0.013415813041553431, 0.013154192080006349, 0.009194566471555022, 0.01026494300020504, 0.009814181401207343, 0.009814181401207343, 0.008079954864575738, 0.8379299659022942, 0.011368198060398023, 0.011368198060398023, 0.008450897861062165, 0.009498825644688414, 0.008079954864575738, 0.009814181401207343, 0.008079954864575738, 0.008079954864575738, 0.011071489155720532, 0.009756009626701008, 0.009690524129746476, 0.009690524129746476, 0.008519133226872944, 0.008519133226872944, 0.02321328161328627, 0.011936700913271175, 0.010852453018046696, 0.009194566471555022, 0.008519133226872944, 0.010852453018046696, 0.008450897861062165, 0.009498825644688414, 0.008901659460059861, 0.008530716463573434, 0.008079954864575738, 0.00913286669309725, 0.008079954864575738, 0.006886969848116345]","[0.0, 0.0, 1.4163957869901233e-18, 2.4532694666933987e-18, 1.734723475976807e-18, 0.0, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 1.2266347333466993e-18, 0.0, 8.673617379884035e-19, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 2.4532694666933987e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 0.0, 1.0015430658247728e-18, 0.012270679076448845, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.4163957869901233e-18, 1.4163957869901233e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 0.0, 0.0, 2.0030861316495456e-18, 1.0015430658247728e-18, 2.4532694666933987e-18, 1.0015430658247728e-18, 0.0, 2.4532694666933987e-18, 1.0015430658247728e-18, 0.0, 0.0, 0.0, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.0015430658247728e-18, 1.2266347333466993e-18]"
9,"{'n_estimators': 50, 'learning_rate': 0.08941229460050851, 'max_depth': 1}",0.13164065724836663,"[0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.23748248602846753, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759, 0.011440596276283759]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
