Trial Number,Parameters,RMSD,Predictions,Std
0,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 10}",0.13232814824319264,"[0.017469103311829444, 0.0122917945078176, 0.006336735301125486, 0.05730493322198374, 0.009226488071902964, 0.008401162796204469, 0.0038198742946256425, 0.008889621545519694, 0.025078418168502186, 0.009962856654362471, 0.0034734701701308254, 0.0182069732153953, 0.007414749688321153, 0.013195761631652848, 0.006210730675999004, 0.006052107267777413, 0.006144434037164824, 0.005488929729069722, 0.005901978161684629, 0.005944611805883598, 0.008803986759493407, 0.00478374087424614, 0.004077392637943475, 0.008164005686763023, 0.0045788781541504925, 0.016399757456969925, 0.005988882390001563, 0.0115175907899577, 0.07095335822726916, 0.011740657828590342, 0.010896726313671815, 0.011675717221764059, 0.00841136709544305, 0.03196731721619759, 0.30145801997413285, 0.010734472169965092, 0.004034139169423874, 0.0049810993641064795, 0.013498033049514501, 0.006382969723766854, 0.006626327668272456, 0.009489322826613496, 0.004169458270995866, 0.01053182397754754, 0.014063279028270516, 0.006871026497396516, 0.005846458723894059, 0.00451657223533979, 0.01824353962476431, 0.02374245600638804, 0.016729128492101373, 0.013244697160406224, 0.005206027891486255, 0.005720829488047961, 0.01839244747125519, 0.006707068431491439, 0.006963085011372242, 0.007078942899858012, 0.006344866605916768, 0.010178127525271245, 0.015017559641038986, 0.008205911319751532, 0.014736046996060787]","[0.00237663358245933, 0.001519451153294675, 0.0004769164939628692, 0.0017263840339917704, 0.0007444052599819756, 0.0003903878127766339, 0.00026303039483721087, 0.0003741879781370841, 0.0022596030332092923, 0.0008564236989692919, 2.0118499973477793e-05, 0.0018540301630154332, 0.0005116611425869742, 0.0014042298326715536, 0.00021054310183606174, 0.00012009121737523794, 0.00017416314530437546, 0.0004568253926327456, 8.863420146768205e-05, 3.5930618990110683e-05, 0.0006665905493626151, 7.148960023994568e-05, 6.41161162771945e-05, 0.00026376090230345063, 0.00013376340728571033, 0.0013288838470085233, 0.00019820436110940123, 0.00013283808670071787, 0.001225051549919112, 0.00047139775292057764, 0.0005745208045039537, 0.00016239389814905306, 0.0001097983034662199, 0.0018404915027720493, 0.00593969134532091, 0.00022710975360251014, 0.00018305834860580337, 0.00038662209383023073, 0.0014112428119203886, 0.0002575831254166535, 9.9510143274981e-05, 0.00042306191763312576, 0.00011049864312434294, 0.0005462208959246319, 0.00012447009085037026, 0.00010811293325685354, 0.0002165034718245844, 0.00013303762690130593, 0.0010151707588256088, 0.0007820347570807205, 0.0002802382782396936, 0.0007476289031712214, 0.00012281178685852174, 0.0002136290297900312, 0.0005103818953913162, 0.00017035341081526168, 0.00028533904429253043, 0.000132922820801412, 0.0004638513220909385, 0.0007430555417238613, 0.0002932443492406911, 0.00046217334151101155, 0.0012194279194374434]"
1,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': None}",0.1322110542108834,"[0.01609204109667045, 0.01300798793267964, 0.007097812242607591, 0.05685059329602577, 0.008776494837914754, 0.008122623308762426, 0.0037314687878926243, 0.007443194839720433, 0.02308450596629544, 0.010758799434969366, 0.0035978171039819686, 0.02000581420382488, 0.005725165668695884, 0.009456574731131198, 0.005540725122610742, 0.005898183373821556, 0.006122592751551726, 0.004661833071513546, 0.006780196427306412, 0.005711676049119238, 0.006317069952400108, 0.0043568859979914954, 0.003522217175652509, 0.007396195071677439, 0.004697287769754164, 0.015461987524324159, 0.006600260291876876, 0.01173743299984298, 0.07041703647836466, 0.009775368388009903, 0.007923622251760852, 0.012451046653915845, 0.00797188736612119, 0.03122004664141519, 0.2889841144173082, 0.010732684131501496, 0.0032096988586881154, 0.0049795808384064675, 0.013003605750866972, 0.0073367599078282735, 0.007631764776147514, 0.010936597954611401, 0.0037727988043796032, 0.01032138222301849, 0.013886817943379237, 0.006794302746954343, 0.005881532471897756, 0.0036729656189709615, 0.020484495687960798, 0.022107153026344445, 0.018917596925388965, 0.014331751303195583, 0.0045281786096746275, 0.00497678068673158, 0.019781379824740486, 0.006115786827341935, 0.006910021515054235, 0.008412416783686821, 0.006884906265755992, 0.01129877035006059, 0.018406555355081695, 0.008861960578420114, 0.01587145970406739]","[0.00048747417870784936, 0.0019715877120546777, 0.00044579600168076624, 0.0018964654410602595, 0.0007855813606081519, 0.0021155301812316495, 0.0004493337934907474, 0.0003101427834334257, 0.004760673747709514, 0.0024375844980794622, 7.7410379511479e-05, 0.00041677881485416746, 0.0005359057839586002, 0.0016608141139781464, 0.0004547450031059418, 0.000123252548008478, 0.00030337961644832614, 0.00022970927239945323, 0.00021002252195039185, 0.0001284349400265247, 0.0012915109641631448, 9.766292783576493e-05, 0.00013499037531668843, 0.0007385304294053013, 0.00021106345894841857, 0.0008986071012312052, 0.00031387840931997214, 0.0005383181893430084, 0.0011865644760462235, 0.0007266874836360304, 0.0008587544232130382, 0.0011035270698198092, 0.0001785925948172519, 0.002101990532281904, 0.011140678582020875, 0.00017441133473820975, 0.00013098710209080328, 0.000265743359866676, 0.0016035097682592491, 0.0002163854717052122, 0.0001821202085167438, 0.000332278320569393, 7.700448562993351e-05, 0.0005701140651596947, 0.0006202785921101661, 0.00038112194085376534, 0.00017063962925134663, 0.0001052384563275852, 0.0006217101103652746, 0.0011874102482861688, 0.0004318810094793253, 0.0005848392088963497, 6.518029487808905e-05, 0.0003636523281500449, 0.0008664103541918026, 0.0002852911573368349, 0.00021834947449404397, 8.710405088572671e-05, 0.0004174175481621528, 0.0003199924506636299, 0.0006305497472952667, 0.0010016195031225257, 0.00209626568438985]"
2,"{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 2}",0.131619231564342,"[0.014113480948303723, 0.01071421543706487, 0.015509680022202668, 0.011612653467697931, 0.014760022979494067, 0.013543911649250171, 0.012516570264092286, 0.011311110445348264, 0.01530096553124768, 0.014428131238561445, 0.011697172041248925, 0.011093174495543437, 0.01128894939030752, 0.01115364488811571, 0.009830499358341845, 0.010740188239404145, 0.010684862791349772, 0.009829816564246243, 0.00959934606186432, 0.009827193003191884, 0.011010901929713643, 0.009479891130574347, 0.009471362142417167, 0.011069451923284825, 0.00926150527826919, 0.013156226499877998, 0.009466000793782731, 0.009538835547529358, 0.011750880109284654, 0.012438341753821186, 0.01251830417373105, 0.010457459806505651, 0.010421231535831368, 0.01844642225536935, 0.26251789833522815, 0.009684536798918127, 0.009248530440103998, 0.009825224044525823, 0.012583578759617181, 0.009562771347407675, 0.010450568726338268, 0.009856296047348731, 0.00929345721085296, 0.012694214220104902, 0.01316664418515275, 0.012403472080838007, 0.012418414339281633, 0.010972901024825676, 0.011138594207632269, 0.013108068958826545, 0.014462139071347765, 0.011985655704749016, 0.011834801269733486, 0.011107050506243615, 0.011893036810209265, 0.010771796598058806, 0.011494825506515476, 0.011376733100620854, 0.011240321490546762, 0.009553487674793614, 0.011503699371508051, 0.009639323573757429, 0.012867797406506837]","[0.00015159951844640049, 0.00021996899498380213, 0.00020404550839999452, 9.742541802837352e-05, 0.00021019808174217508, 0.00016682781122556798, 0.00023809947097454086, 0.0001286806550143202, 0.0003865436444526788, 0.0001407881177854142, 1.1054612694363135e-05, 0.0001169502159644075, 0.00014076397957304564, 0.00014879084607913694, 7.042829572537469e-05, 4.747784479530746e-05, 2.158242430335046e-05, 7.139361983407086e-05, 2.024776629956046e-05, 4.720931873399895e-05, 0.0003490319310892941, 2.638683681240507e-05, 2.2057048701327797e-05, 0.00011194385865411765, 5.215003448729527e-05, 0.0002156977862912956, 5.578785012489336e-05, 8.795019459478798e-05, 0.0001027882205626345, 8.290922565576349e-05, 0.0002601622193216016, 4.3483468018307415e-05, 5.108714982136623e-05, 0.000597151270430953, 0.00692996386145294, 0.0001166516228772161, 7.555370888973358e-05, 8.63461621217456e-05, 0.0004957019599419127, 3.8725673101792585e-05, 4.3287244705548557e-05, 9.297939444393947e-05, 7.488638980900642e-05, 0.0003613956736865253, 0.00124784414150382, 5.964889909847217e-05, 5.804582903893098e-05, 3.820247075808466e-05, 0.00012541823603333431, 0.00037248723536036907, 9.381259789505911e-05, 1.167313042280329e-05, 6.548602920389405e-05, 0.00010726263927132806, 8.499323543337914e-05, 2.5337906756800154e-05, 0.00019298290663802436, 0.00019070024292182797, 0.00015656241011087788, 5.4514189701068385e-05, 0.00025079577083705516, 5.996753587531886e-05, 0.0002644817231105878]"
3,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 10}",0.13230809135812008,"[0.014429552637794338, 0.014964177849412771, 0.006032845214456063, 0.05342000919202764, 0.007805545556800867, 0.007031089977858619, 0.00324017865659928, 0.010847844684171026, 0.02863338676551595, 0.008113320431959304, 0.003585160916475257, 0.01682157670161016, 0.009793569418263625, 0.011432227676142334, 0.0059181000035449655, 0.005969940492367389, 0.005814120853681511, 0.0052296407255263576, 0.006231289043866973, 0.005524698409254701, 0.007650027946039736, 0.004751602800847981, 0.004149972556259732, 0.007329271008285484, 0.004625659542231465, 0.018825380703719207, 0.005835799555711413, 0.01073414775726404, 0.06753724262029069, 0.009860123749467984, 0.013164358615729893, 0.01198987051205966, 0.008530783259731686, 0.02693912764985026, 0.29749815607114377, 0.01075022825418688, 0.004026333235494932, 0.005089920166459029, 0.013270387704204209, 0.006278437295147765, 0.006915043878866341, 0.009459098776743315, 0.0038762433820112847, 0.01061535931600987, 0.01392640801069623, 0.006369281420670549, 0.005814618453384184, 0.004622361290635635, 0.018402710505937406, 0.026147613107726442, 0.016909601633235984, 0.014103577852735671, 0.005045447775532005, 0.005528482226301108, 0.017040902379598388, 0.006360006166849153, 0.0067375711615959835, 0.0071178790797025125, 0.006776105767604525, 0.01070720824899214, 0.016633685587693427, 0.009036853525437276, 0.017299406282133504]","[0.0028921623084878327, 0.0015879922098406896, 0.00023477210753974646, 0.002304212367649079, 0.001143969568166455, 0.0007280143843300953, 0.0002657812503255956, 0.0025523920323364743, 0.0022007760839468584, 0.0007704843586486163, 0.00040082337522083793, 0.0014402671482578364, 0.0016465052867843618, 0.00143740912970678, 0.0006184066664333222, 0.00019584972654910528, 0.00046444255838575546, 0.0003664858617426049, 0.00027949236742458826, 0.00022850231048853484, 0.0022543310588043317, 9.419025641738962e-05, 0.00010620582155911484, 0.0003698803717378733, 9.086691827634194e-05, 0.0011798309568176303, 0.00018026830189829497, 0.0009130162164794099, 0.0018420173027337463, 0.0008978144466948596, 0.0019873227357089444, 0.0006392885067260612, 0.0006096614754212658, 0.002166927910112841, 0.02055675125379942, 0.0011664869935509802, 0.00027644315100869006, 0.0009141647770227613, 0.0022099625036084234, 0.00035595704602364264, 9.281169672681249e-05, 0.0004909640393706605, 9.375489483049164e-05, 0.0004009912908415399, 0.0011631664667900229, 0.0001963550932661496, 0.000160781092978622, 6.152516390795767e-05, 0.0014899836562056075, 0.0033798059212599386, 0.0005783894125610773, 0.0015838126388004073, 0.00010818211777678208, 0.00035334037973343085, 0.0002506890903249149, 0.00023176058080153977, 0.00024000664910999554, 0.00039154161448307735, 0.0005139459282133221, 0.00038595920400069466, 0.0013480751985482198, 0.0010206756886673909, 0.0035768422437987687]"
4,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 2}",0.13163207191829202,"[0.013636245115067667, 0.01083144099732621, 0.014817958038487644, 0.01159934843222523, 0.014568050765172176, 0.01334456383512885, 0.012430616432394135, 0.01142701620729702, 0.0150135838952194, 0.01398811024841471, 0.011810981514982671, 0.011201398187371663, 0.011458429037636742, 0.011249627841744846, 0.009895368696467783, 0.010736618651649316, 0.010663495489471759, 0.009914677205513842, 0.00965587129469299, 0.009875635676168731, 0.010762141426428612, 0.009599892769913744, 0.009584952358471765, 0.011232924911530459, 0.009355100346114373, 0.012965595961118908, 0.00960534047182489, 0.009638142433101795, 0.01176472660945952, 0.01262460653480362, 0.01227897933517285, 0.010424332995502739, 0.01040225553895162, 0.019380131867373845, 0.25659868127631574, 0.009797206449441162, 0.009328561771416423, 0.009883751213544156, 0.012220347859007124, 0.009640025150669078, 0.010421841007567318, 0.010090337243259776, 0.00941233365911902, 0.012320889970993431, 0.01216081158442401, 0.012480470332819153, 0.01248475503669619, 0.011029437672051105, 0.011167951779522822, 0.012791438759862989, 0.014461484793357996, 0.011946189128765378, 0.011854540058993944, 0.011249637851748888, 0.012066470805486451, 0.010693751515611652, 0.011553118719729952, 0.011267188661538488, 0.011178704930451783, 0.00966383851119256, 0.011669327749698451, 0.009554260707138579, 0.012048999135444221]","[0.00018741855437776368, 0.0005939944750421854, 0.0002879600681035843, 0.0004776258785430389, 0.000516317945895899, 0.00037385114278524063, 0.00024657031845618047, 0.00019003018029341347, 0.0004708485433097184, 0.00031892017611558874, 0.00022438845835434646, 0.00017253940682342142, 0.00021111578542058008, 0.00018187255061785732, 6.954330661706737e-05, 0.0002214445103692852, 0.00022909047225945275, 5.681444505826745e-05, 8.49913053206435e-05, 0.00018258153169435005, 0.0002357425424149167, 8.33888347087904e-05, 8.33705192172779e-05, 0.0002439118871826282, 0.00011857320501280573, 0.00013219291466452652, 9.247613878222508e-05, 0.00028495046476851855, 0.0005197276263134621, 8.067232187744336e-05, 0.0002362581538696148, 0.00017958844868428157, 0.0001387031750333774, 0.0014557156264030932, 0.005616432624907125, 7.887030432079512e-05, 9.723372806334415e-05, 7.752653615604133e-05, 0.00018861141638248937, 9.540367490546906e-05, 0.00014861312615700164, 0.00015236184713005127, 0.00017249616315138082, 0.00012368165881758707, 0.00016208549134960653, 0.00024135834950079137, 0.00024536022239511054, 0.0001751474914520744, 0.00025526762534247837, 0.0002473358202864945, 0.0002228835044480522, 0.00015015355219709286, 0.00019232255780315702, 0.0002647930822347498, 0.00018343347074062093, 0.00024436303903756587, 0.00015330035930380666, 0.0001778931392645517, 0.00016296066064100257, 9.769095114121637e-05, 0.0001816542399521003, 0.00013835283903730202, 0.0002053437688173148]"
5,"{'n_estimators': 750, 'max_features': 'log2', 'max_depth': 20}",0.13199966741722147,"[0.015361226305107938, 0.011785985321118414, 0.006627740484091013, 0.054671622490662763, 0.0085839153923119, 0.008145698603353808, 0.003668292805601585, 0.010228313139726932, 0.027467050761545944, 0.012133194251725649, 0.003598618793497359, 0.020006118109175214, 0.007241689918403742, 0.010927727364559851, 0.0063890978126100095, 0.006272696414206796, 0.005931258338911325, 0.005235561431682154, 0.006773918243578849, 0.005642813446735395, 0.007329407103613681, 0.00444128350495937, 0.0035081340002197097, 0.00738113051452251, 0.004782375082530848, 0.016060425520991364, 0.00656079685283958, 0.01152742960525878, 0.06993898762108884, 0.011373762731852935, 0.010847652043233456, 0.013159860201399578, 0.0075951027535757385, 0.03185114286930631, 0.2874419660694582, 0.0111583121863545, 0.0032998614859280715, 0.0053199713041591325, 0.014718567758399012, 0.007554094209529975, 0.007431355871050162, 0.010701491290579948, 0.003851330421432178, 0.010081101615226346, 0.013654630983869565, 0.00718467256188602, 0.006180364487556077, 0.003959843260683111, 0.01927494116282674, 0.021831083998531384, 0.018342415857931126, 0.013871631346361178, 0.004502118232225816, 0.005286664850093477, 0.02009534056314094, 0.006461514290283827, 0.006314388871278467, 0.009017675811859744, 0.0068066340982466415, 0.010988434495518612, 0.018109376700839386, 0.009886267631294564, 0.01447290409086673]","[0.004684569543627257, 0.0008218071848869168, 0.0006729542382226817, 0.0017097796469530456, 0.0014696415985144173, 0.0004507284827705809, 0.00014899576115335298, 0.0005451249765540556, 0.0009963693582172313, 0.0027396851455477587, 7.28956304075453e-05, 0.001687857969715686, 0.0005994239506654564, 0.0017661077503635105, 0.0003577305337085024, 0.00027137072964724665, 0.00028648243567444987, 0.00035712675107225017, 0.00017169721460051485, 0.00023618321681780644, 0.0014254257615918917, 0.00017387828717735257, 6.78583293564493e-05, 0.0005515626958831112, 0.00012555783107186507, 0.00012634491351321215, 0.0003624661320621664, 0.0007854587020812651, 0.0012449136399267455, 0.0013204906384602767, 0.002956472194021982, 0.00016975577337110924, 0.00036638822558417427, 0.004445702891317514, 0.013527215781446823, 0.00020895569818839515, 0.0005484142461513485, 0.00025084138664692207, 0.0014538115929388423, 0.0004929958921168827, 0.00039287315172418553, 0.0003714997429157128, 0.00021178669451761304, 0.00021389919428333766, 0.0003105043972037779, 0.0003044759629030266, 0.0005452420439647297, 0.00022665801238206732, 0.0006251494917586832, 0.0007501127025589662, 0.0006462683277050602, 0.0008539826342176187, 0.00022686102712664272, 0.00017878199789920986, 0.0006934152462587804, 0.0002160168296914116, 0.00046120411409408216, 0.0002434972967547073, 0.0003290724643439627, 0.0004827800936770799, 0.0018372824046465255, 0.0010788184190713471, 0.0009629380671735715]"
6,"{'n_estimators': 500, 'max_features': 'log2', 'max_depth': None}",0.13208943319539793,"[0.017279902661394123, 0.011665793008232327, 0.006105519604534097, 0.05281701092142499, 0.007901272430034354, 0.007249042656477182, 0.003529057823965427, 0.008237968445512972, 0.027327496906082355, 0.010877800325295358, 0.0033317804714421743, 0.01715454031537812, 0.006822669561267845, 0.011255184655835452, 0.005826932292165775, 0.006089979873909787, 0.006253783191033903, 0.005060351880171231, 0.006926911318807495, 0.00604552191021452, 0.008375642569528004, 0.0042703702006080405, 0.0033985840899714887, 0.008306483267843624, 0.004605849483513657, 0.017871768054102812, 0.006520519861492446, 0.01079671815556671, 0.06459036531145453, 0.01013169880035164, 0.012285729365896184, 0.01293825637777595, 0.008376437057007179, 0.03124956490698799, 0.29084913210576596, 0.011033830999179088, 0.003231897283325016, 0.0047751808778530485, 0.013678243682643866, 0.0070332615238880465, 0.007229344367264283, 0.009618659899633404, 0.003820512499982583, 0.010529114771494518, 0.014566775277047027, 0.0071886838314852534, 0.006000052780636671, 0.003982437937610464, 0.019841735871804142, 0.021046103886182704, 0.017651733913364717, 0.015567232113961665, 0.004813005148889954, 0.0051134492007205426, 0.01950355644264064, 0.006081257179208263, 0.006708530045377415, 0.008305272091127094, 0.006674805996435856, 0.011031864225978875, 0.014136237935110305, 0.009910409036044947, 0.013875923834763224]","[0.001873753158950225, 0.003314781022027952, 0.0004573189269822211, 0.004851520605966101, 0.0007700966824275396, 0.0005552766425016055, 0.00044223142206030783, 0.0010786006602212777, 0.0011077488735907715, 0.002119472032647896, 0.00028315229910448717, 0.0012002755430883649, 0.0016572198646254434, 0.0005033763336230004, 0.000303232866876851, 0.00016833128479094717, 0.00046437082094594824, 0.0003636819624574114, 0.0004999627985903091, 0.00017070756313324455, 0.002241794996240774, 0.000251893405492894, 4.222863732895629e-05, 0.0003443120336872479, 0.0003103607649588233, 0.00044249580399383597, 6.674805765211745e-05, 0.0005401043589691809, 0.005397194618034483, 0.001960534780153148, 0.0027478024261852517, 0.0010371027611538939, 0.0009899914908085268, 0.0018541574598171984, 0.007773239418230002, 0.0005741790192964275, 0.0003243839278373954, 0.0003607056555700937, 0.0014362753112658472, 0.00011043780078429133, 0.0003673311611455038, 0.0002874274151587133, 0.000221850289785587, 0.0003520544427681448, 0.0018448015037790194, 0.0006994649984072277, 0.00022090675443613603, 0.00011321141970046577, 0.001092501723537257, 0.0020570922734837052, 0.001695100579934224, 0.002942710145924024, 0.0001042472476250955, 0.0006014471177923299, 0.0012665132397738266, 0.000397591485870374, 0.0002686037261415631, 0.00034873437136589383, 0.00036933097053775413, 0.0002745224304086606, 0.0018100312388894602, 0.0018064468193393084, 0.002762825289294386]"
7,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 5}",0.13217468636547194,"[0.01974306009723863, 0.01345948139858272, 0.011540070651134942, 0.03730064797505484, 0.010793524368751332, 0.010404311150501335, 0.007990957448480078, 0.009221929417199305, 0.03269728905163909, 0.014825922718624254, 0.005657538575669756, 0.01670781806157753, 0.008872333094941925, 0.01122278427238857, 0.006789337215655934, 0.007197647489917673, 0.0069311351497509215, 0.007001343792015652, 0.006637704691725005, 0.006664869291098607, 0.011324480258737437, 0.006145336287321948, 0.00607566133250393, 0.008557606173841228, 0.006218757596458381, 0.015665839350434335, 0.0070358753660069604, 0.00855858359315134, 0.04364789526661237, 0.011236157360009, 0.0131730651236361, 0.008298440161030332, 0.008951854963439877, 0.025628850124063754, 0.30044479716974276, 0.008604133727213177, 0.006550909333357637, 0.007033823819869774, 0.013702587495008496, 0.006472183327647226, 0.007446313138056783, 0.008020497455187662, 0.006276137508319363, 0.011136241832755661, 0.012111715415824018, 0.008020772549044791, 0.008119311607930486, 0.006995321313178905, 0.01349586752837851, 0.02267730334791537, 0.012236180325472884, 0.011752122106195362, 0.007658829350989313, 0.00855939772166889, 0.013319753061450501, 0.00696133896637493, 0.008050781085337667, 0.006518548125124785, 0.00628613541119908, 0.008591961943690012, 0.012180545622927108, 0.008480246647406695, 0.017196832325548854]","[0.004087441815834471, 0.0009674425005591818, 0.0002827243407224694, 0.002752792848287904, 0.0013162804691165342, 0.001563431861380697, 0.0004509740236803061, 0.0010456610895629706, 0.003355976749823543, 0.0019801080888039333, 0.00015387759599316673, 0.0017901968343435365, 0.0009670432329280807, 0.0027334350915317767, 6.726278622214949e-05, 8.973059044587559e-06, 2.904741462062513e-05, 0.00015219610288967663, 1.837693908547623e-05, 2.39145052122616e-05, 0.00344275502885299, 8.15493292878856e-06, 3.2617716917561906e-05, 0.0005157659106080023, 6.10990983095857e-05, 0.0014871749336384714, 0.00013915701177729517, 0.00015280352492941238, 0.0016674582457846907, 0.0006270979682575633, 0.002421521476132627, 0.00029508065509045787, 0.00020669732848333918, 0.005570974261233782, 0.011942754159089526, 0.0005431133136437146, 0.00011770341234000637, 0.00021036731088869826, 0.0028405774399498512, 0.0001011878026201994, 0.0001885023017199526, 0.0005248006123257135, 0.00023264498216269514, 0.0002522313771350968, 0.00034864006387921024, 0.0004196070532256182, 0.0004157013016557387, 0.000348229568111204, 0.001232822797653334, 0.0019286995941067034, 0.00031235768448661125, 0.00183199786323062, 0.0002595957522385923, 0.0005161967995436199, 0.000937639667274316, 4.866342091188465e-05, 2.48111629305207e-05, 6.792831696450545e-05, 0.00015087214643635705, 0.00012929731482213766, 0.0017990919249086562, 0.0019847562431571306, 0.0022215056914979565]"
8,"{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 10}",0.13224108056605183,"[0.01928509079290588, 0.014046418426063223, 0.0067229104311051354, 0.056808730162893555, 0.008383106804422709, 0.007755212120540769, 0.004248018454468844, 0.009168963429423286, 0.029493053146035907, 0.010672750739698075, 0.0037969500541501877, 0.019221374298988972, 0.007833395132717602, 0.010408045026073946, 0.005953521821083899, 0.005839716316961559, 0.006200701605003921, 0.005109232583994416, 0.0062035626959408815, 0.005669825709372155, 0.006484603844126792, 0.004745505208018691, 0.004198067282574991, 0.008117320865445627, 0.004664118973897775, 0.017131021672739354, 0.0063109696717475105, 0.011399159359840571, 0.07280000264122984, 0.009509827607764807, 0.012307099537999666, 0.011790070537617858, 0.00785555874881722, 0.03175024609016279, 0.3033976145263017, 0.00956693915130466, 0.004162814969479709, 0.004706174355386593, 0.015161056036645922, 0.006315136790200737, 0.006911730223463278, 0.01000121083602358, 0.003988787815818275, 0.009989300904539707, 0.012936482903542835, 0.006441526224325218, 0.005757750389481824, 0.004663766799936087, 0.01845509026439335, 0.02631276562022127, 0.01688893039033496, 0.012906436957972355, 0.005018886650967784, 0.006196732124683714, 0.01821659324611775, 0.0063984465919835615, 0.006970750575139969, 0.007202476298547142, 0.006330063972311068, 0.010676580521840631, 0.01649589749731051, 0.010005083620568319, 0.016543869433297914]","[0.0006743501082626198, 0.0014916162578519822, 0.0001760120539290338, 0.0009871906062349823, 0.0014069683951119228, 0.0006843950329139579, 0.0003230925021497595, 0.0005066568876884226, 0.004992714557876556, 0.001976051002362305, 0.0002109654564285912, 0.002617309285298777, 0.00021544149733938498, 0.0010936819300515416, 0.00017551912998111304, 3.375770806511764e-05, 4.468543343693431e-05, 0.0002756136065932515, 9.483039964421603e-05, 0.0003935306119719059, 0.0005598706807860525, 0.00010077517432774433, 0.00010330699145283543, 0.001093155889441647, 0.00017124902138537066, 0.0005174870577843908, 0.00026179646693101145, 0.0004537429599760658, 0.0018838340733058718, 0.0011451557558744396, 0.001909177447797042, 0.0005811935018397133, 0.00036482811145180176, 0.005595574455009418, 0.005330480379448589, 0.0005485469280877097, 5.258897505757232e-05, 0.00023064874188328334, 0.0007012395197107187, 0.0001250798216478485, 7.241400909147477e-05, 0.0007360675894157462, 8.991533484321885e-05, 9.348689381063287e-05, 0.0002787755345630926, 0.00014161047934687772, 0.00012007034987817665, 0.00013931600758320086, 0.00038086794333005633, 0.005035408796723216, 0.0006257087594690752, 0.0024176586301319592, 1.2629163040964444e-05, 0.0006573621124832307, 0.0006184353334415109, 0.00029037587972626227, 7.638047926512244e-05, 4.989177564080959e-05, 9.97085693452692e-05, 0.0001744411957645143, 0.001403246376309018, 0.0005862725054695281, 0.0029816898454355476]"
9,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 10}",0.13228214415801706,"[0.016411701065736358, 0.013390282200042186, 0.005715090236047508, 0.05369044861557068, 0.008697716239247392, 0.006112890670778414, 0.0032754267277996575, 0.006958316352307645, 0.02714273237098629, 0.00924813402228554, 0.0035509132157074547, 0.018060822890007138, 0.00582077855801779, 0.01134932477185345, 0.0055343872615144785, 0.005920042066242121, 0.006291123175770058, 0.004985556146639703, 0.006198048323527995, 0.0056629174309327695, 0.006642558641423813, 0.004693743639945253, 0.004178995286538639, 0.0074762133499391035, 0.004509562338924543, 0.018876380724473247, 0.006094458947835244, 0.011367867051056066, 0.06755781657818855, 0.01020234717064398, 0.01174252579394279, 0.010731413892827968, 0.008035618339113369, 0.02896997463600003, 0.292795466626335, 0.010569559914889478, 0.004137870111314479, 0.005331137894412791, 0.01300256145452894, 0.006453895036543821, 0.00695917711911932, 0.009620091252688564, 0.004098821672565141, 0.010319117249949014, 0.012593409415185377, 0.006812980820828859, 0.005647258846456039, 0.0044787371111612165, 0.017453220359582588, 0.027490638369632493, 0.017227251091685325, 0.01184100630377438, 0.004908471767393098, 0.005584782561560697, 0.01649054246585836, 0.006107607801056521, 0.006840885992254328, 0.007349239808648743, 0.006260787178735246, 0.010671937078165454, 0.016710502087678842, 0.00893106597899131, 0.015637638141555114]","[0.0025150248105373575, 0.0006827381583589075, 8.516326229418234e-05, 0.00495569720336749, 0.0009800735174410875, 0.0010875643385896958, 0.0008172067129030692, 8.360178379411867e-05, 0.0015880439769272977, 0.0016235275157008764, 0.000296841204317867, 0.0007424516811171139, 0.0006680703200947685, 0.0003513784702258832, 0.00027456596505812624, 0.00033521153283016673, 0.00028907304785178405, 0.0002737333965106513, 0.000334770151007226, 0.00030094791564183555, 0.0006919586043514683, 8.476752458068045e-05, 0.00019109681703500378, 0.0007337256973506145, 0.00018448780310045422, 0.0035035838067014307, 0.0002771628813787052, 0.0005316485631129027, 0.0027246204472994545, 0.002644319755079157, 0.0021367758112474365, 0.0007629692265252582, 0.00034113312481840206, 0.002733020796257813, 0.008700646303918492, 0.0007127555384173307, 8.621645009700802e-05, 0.0003320540086594479, 0.0019509728290565056, 0.00022314315329823644, 0.00020270706962848776, 0.00019277264949131622, 0.0001441896966110338, 0.00019380052058010045, 0.0004090457337299429, 0.00017910262651126024, 0.00010859000551636794, 0.0003416764875436829, 6.932640450892208e-06, 0.006421683768558297, 0.0012831273263903759, 0.001551446254495176, 0.00010364061567162337, 0.0004675870369821474, 0.0002078741059884695, 0.0004413317178170753, 0.00034544550127387576, 0.00015723833526417032, 0.00038528024743193773, 0.00041606678148222646, 0.001994153200198601, 0.0012604521034943795, 0.0008288557110325614]"
