Trial Number,Parameters,RMSD,Predictions,Std
0,"{'alpha': 0.09219066706313526, 'l1_ratio': 0.060560608715063705}",0.12936863651766528,"[0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.01644609563947224, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.015559155013869614, 0.015559155013869614, 0.01644609563947224, 0.01644609563947224, 0.015559155013869614, 0.01644609563947224]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"{'alpha': 0.14937950575878697, 'l1_ratio': 0.09659834706675516}",0.12943933139130187,"[0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"{'alpha': 0.14743721266380866, 'l1_ratio': 0.008339633781538193}",0.1293199482273971,"[0.019981608096560976, 0.015852934788443126, 0.007590472088062158, 0.003190956297085904, 0.007165170926696268, 0.009926652546748215, 0.0047280482934053125, 0.008147846705447298, 0.003321588954771618, 0.013406857378665156, 0.013002019484049892, 0.014195963542066876, 0.0036260529234955156, 0.0026289941683758007, -0.0032423958837548214, -0.015224227185350395, 0.019886191436233814, -0.014543760253443732, -0.0076627861611407375, 0.01643206667863134, 0.03487567760711431, 0.01597389932840679, 0.008476905996251269, -0.005278626050741142, 0.0009969168573204686, 0.020010654650141776, 0.01134696846785197, 0.021829632265276944, 0.0246393432732749, 0.010045774025011712, 0.017243074091204035, 0.018255730185241497, 0.009095300701845149, 0.023324791296689528, 0.045611753519735156, 0.05190753878807964, 0.03952658137813482, 0.029818169004542917, 0.01367613091370634, 0.019832950050331935, 0.004786374476374482, 0.01937980025399824, 0.008703493100632414, 0.025790053236872723, -0.0031919616592444543, 0.009295800786145824, -0.012731141456534497, -0.011272148990620172, 0.023497265844837436, 0.03686267916222501, 0.03029823260836571, 0.03859068160072506, 0.0065790856887647685, 0.03489392190299778, 0.009814032038910606, 0.023922344822138838, 0.037059311656234106, 0.021247079750547338, 0.0010674454304492502, 0.020808004015437625, 0.006599894810804354, 0.009197929682286776, 0.02802110396117492, 0.031761444983543344, 0.010588694672896283, 0.03254358923418382]","[0.0, 0.0, 0.0, 4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.336808689942018e-19, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 3.469446951953614e-18, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 6.938893903907228e-18, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 8.673617379884035e-19, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0]"
3,"{'alpha': 0.09514443010193313, 'l1_ratio': 0.08511209300264344}",0.12943933139130187,"[0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"{'alpha': 0.10815046900097346, 'l1_ratio': 0.03782201739164363}",0.12898893784836785,"[0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.02013706641871629, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.0142646406246275, 0.0142646406246275, 0.02013706641871629, 0.02013706641871629, 0.0142646406246275, 0.02013706641871629]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"{'alpha': 0.08797090211764075, 'l1_ratio': 0.020057780679551288}",0.12845589047033523,"[0.01564184560872603, 0.015507285865435297, 0.0066812834456167385, 0.004965700408619664, 0.006609801928479736, 0.010642375021832485, 0.00739656215489681, 0.008944197379127864, 0.002768440641932929, 0.0121034870396591, 0.012982789826126143, 0.013464300905556663, 0.0025504576533990743, 0.004730601914845218, -0.0021820593618197826, -0.009821531729168952, 0.022615587168170276, -0.007629637914370418, -0.00470668295182982, 0.013190059891152886, 0.032079638846200464, 0.016107622431637048, 0.012758775840945062, 0.0019783222981756086, 0.0014551468033613124, 0.02395412831129823, 0.012960617375614264, 0.0173177203042548, 0.024053451321324137, 0.0063652728702105555, 0.013406329914958283, 0.018550257033956696, 0.010237240016956159, 0.016199066710321307, 0.041069117433718404, 0.05517919771112285, 0.03500913706445602, 0.032538535309818345, 0.01646902383163775, 0.012521496352846974, 0.010157768624800865, 0.024742543439975718, 0.011241673163212852, 0.02493132625835097, -0.0028002315445796525, 0.004543212699706634, -0.006601693169353464, -0.0083252819600526, 0.020684173421614962, 0.032580542665408635, 0.02397666774124331, 0.028138196760891878, 0.011518622657940644, 0.033430088505729955, 0.010834039486682006, 0.021785450927625922, 0.027276882156254827, 0.022434814948728083, 0.0007073358163659114, 0.021122204873193218, 0.011012576596125733, 0.014075982364958545, 0.026859521810569748, 0.03190489911780753, 0.009521670000985766, 0.03222351705259619]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 3.469446951953614e-18, 3.469446951953614e-18, 3.469446951953614e-18, 0.0, 0.0, 1.734723475976807e-18, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"{'alpha': 0.12033976174977412, 'l1_ratio': 0.075771364206934}",0.12943933139130187,"[0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"{'alpha': 0.14042323709200683, 'l1_ratio': 0.0780892339134886}",0.12943933139130187,"[0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133, 0.015789455047556133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"{'alpha': 0.10076757109461522, 'l1_ratio': 0.009293019835527161}",0.13040376300389095,"[0.025414871275944235, 0.016599234454537527, 0.008975634954084415, -0.003674081431832692, 0.003473183519208826, 0.009094991959124063, 0.002109788174428424, 0.007665849072250509, -3.474072439827065e-05, 0.016114123890376184, 0.014168425016369354, 0.015059247311143789, 0.00048133333325112333, -0.0036749348533663823, -0.010596563444213815, -0.02620258584090047, 0.021394373107444783, -0.02790485390294027, -0.017796070360661855, 0.016997704952994644, 0.042978964191960844, 0.01578233951512869, 0.004387831879995427, -0.0156825472987866, -0.0030808387610985373, 0.01926175668062383, 0.00988898388597682, 0.02518600689857366, 0.028596200149527105, 0.00858770061419175, 0.02156791002287266, 0.01710144957438888, 0.007971199457018532, 0.029881692352325767, 0.059647159017955226, 0.05568156152440104, 0.04154971986764529, 0.0315505941354261, 0.010746117412411467, 0.023754658903990002, -0.002545391522067707, 0.01679441434746569, 0.0036475677987674003, 0.02779619539665416, -0.008911378678670057, 0.011311070276195897, -0.025065601977474497, -0.02167015854787659, 0.02653648289254225, 0.04639589449867652, 0.03763489848728852, 0.050987644191938374, -0.0020173235198481052, 0.03940968927129526, 0.006700892952837177, 0.024057790454918227, 0.04925429202170769, 0.023906878666440357, -0.004649864195292595, 0.021575543568087416, 0.0008299425393148829, 0.0029149846804084802, 0.033138444630272504, 0.03890759928150156, 0.010503186447375875, 0.03828200688738488]","[3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 1.734723475976807e-18, 0.0, 3.469446951953614e-18, 0.0, 6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 6.938893903907228e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.734723475976807e-18, 0.0]"
9,"{'alpha': 0.13394968979442873, 'l1_ratio': 0.008802862334199335}",0.12948972898253808,"[0.02100863553620898, 0.015864970991738104, 0.007646195411617266, 0.001987825533321339, 0.0064860078513598015, 0.009822651689244413, 0.004181336568480593, 0.007846097733248203, 0.002783848344766872, 0.013793174249232298, 0.013168595037053718, 0.014370265867988086, 0.0029701932501219838, 0.001477073487988212, -0.004735506030748316, -0.017473193837106576, 0.0202221629505105, -0.01715015265577246, -0.009623400613657766, 0.016645793602200157, 0.0364641109173936, 0.016017084053827502, 0.007739786669752581, -0.007215250820843552, 8.939473991843166e-05, 0.019939881214663543, 0.011034325719872827, 0.022535925203367873, 0.02556577460696328, 0.009841344942707445, 0.01785842458885482, 0.01810798848550422, 0.008940648258868377, 0.024532030798141386, 0.04821937544318922, 0.05300664886587513, 0.040126585742341445, 0.030133397832389542, 0.013292380909854679, 0.020498616998778182, 0.0035545254521810467, 0.019002817667699352, 0.007783597123898349, 0.02650089939186588, -0.004491222301905811, 0.009378520356464875, -0.015007625064227566, -0.013289693239941747, 0.02395610273570452, 0.03860831880061917, 0.03161511286377196, 0.040817659377005384, 0.005023774249757683, 0.03583707098656876, 0.009067205722179788, 0.024013870597154874, 0.03925845357720729, 0.021712151197930112, -0.00018820774968624897, 0.020937778276480273, 0.005539024751509519, 0.008090088202150876, 0.028952291460014063, 0.03323562211369398, 0.010521161823643745, 0.03366625583209694]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.336808689942018e-19, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 3.469446951953614e-18, 1.734723475976807e-18, 0.0, 4.336808689942018e-19, 0.0, 8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0]"
