Unnamed: 0,RLM,HLC,3A4
0,CCCCOC1=CC=C(C=C1)CC(=O)NO,CC1=CC2=CC(=NC(=C2O1)NC3=CC(=CC=C3)F)C4=C(ON=C4C)C,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3
1,COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC,CN(CC1=CC(=CC=C1)F)C2CCOC3=CC=CC=C23,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc([C@@H](O)c4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1
2,COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3,C1COC2=C1C(=CN=C2NC3=CN=CN=C3)C4=CC(=CC=C4)F,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
3,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,C1CN(C2=C1C=CC=N2)C(=O)C3=CC=C(C=C3)C4=NC=C5N4C=C(N=C5)C6=CC(=CC=C6)F,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
4,CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5,CC1=CC=C(C=C1)NC(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
5,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CC=CS3,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3c(F)cccc3C2=O)CN1
6,COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4,C1=CC(=CC(=C1)F)C2=NOC(=N2)C3=NC(=NO3)C4=CC=NC=C4,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
7,CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N,CN1C=CC(=N1)NC(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC(=CC=C5)F,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1
8,CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3,CC1=C(C=CC(=C1)F)OC2CN(C2)CC3=CC=C(C=C3)C#N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1
9,C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F,C1CN2C=C(N=C2N(C1)C(=O)C3=CC=CO3)C4=CC=CC(=C4)C#N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1
10,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,C1CN(CC12COC3=CC=CC=C3C(=O)N2)CC4=CC=C(C=C4)C#N,CC(C)O[P@@]1(=O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@@]3(CCO3)[C@@H]2O1
11,C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-],C1C(C2(CN1CC3=CC(=CC=C3)C#N)CN(C2)C4=CC=CC=C4)COC5=CC=CC=C5,CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1
12,CCOC(=O)C1(CCN(CC1)C2CCN(CC2)C(C)C)CC3=CC=CC=C3C(F)(F)F,CC1=C(C=CC(=C1)OC2CN(C2)CC3=CC=C(C=C3)C#N)F,CC1=C(C)C(=O)N(C[C@H]2CN[C@H](C)CN2CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)C1
13,CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N,CC1=CC=CC=C1C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1
14,C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5C=CN=C5)C=N2,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1
15,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O,C1COC[C@@H](CN1CC2=CC(=CC=C2)C#N)O,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3cc(F)ccc3C2=O)CN1
16,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC(=CN=C3)Br)C(=O)C4=CC=CC=C4F,C1=CC=C(C=C1)C2=NC=C(C=N2)NC(=O)C3=CC(=CC=C3)F,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2C[C@@H](C)OCC2=O)CN1
17,CC1=CC(=CC=C1)N2C=CC(=O)C(=N2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,CC(C)(C)C1=COC(=N1)[C@@H]2COCCN2CC3=CC(=CC=C3)C#N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccc(C#N)cc3C2=O)CN1
18,C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O,C1[C@H]([C@@H](CN1CC2=CC(=CC=C2)C#N)C3=CC=CC=N3)CO,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccc(F)cc3C2=O)CN1
19,CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C,C1COC[C@H](N1CC2=CN=CN2)C3=NC=C(N3)C4=CC(=CC=C4)F,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1
20,C/C(=N\NC(=S)N)/C1=CCC2[C@@]1(CCC3C2CC[C@@H]4[C@@]3(CCC(C4)O)C)C,C1C(CN1CC2=CC=C(C=C2)C#N)OC3=C(C=C(C=C3)F)F,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1
21,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)CCOC3=CC=C(C=C3)OC,CC1=CC=C(C=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3CC5=CC(=CC=C5)C#N)NC=N4,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
22,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=COC=C3,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
23,C1=CC=C(C=C1)C2=C(N3C(=C(C=N3)C4=CC=CC=C4)N=C2)N,C1C(CN1CC2=CC=C(C=C2)C#N)OC3=CC(=C(C=C3)F)F,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3cc(C#N)ccc3C2=O)CN1
24,CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4,CC1=C(C=CC(=C1)OC)C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3[nH]c(=O)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1
25,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,C1CCCN(CC1)C2=NC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC4,Cc1ncsc1-c1ccc([C@H](CC(=O)NCCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1
26,C1CCC(=O)C2=CC(=C(C=C2C1)O)O,C1COC2=C1C(=CN=C2NC3=CC(=CC=C3)F)C4=CN=CC=C4,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1
27,C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC=C3)F)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,COC1CCC12CCN(CC2)C(=O)C3=CC=C(C=C3)C#N,CC(C)(O)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1
28,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,CC(=O)N1CCC(CC1)CC2=CC=C(C=C2)C(=O)NC3CC3,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1
